0,theta,r
SYCP1,3.98415,48.638
SYCP3,4.49998,45.7266
SYDE1,3.56765,44.3167
SYDE2,1.23922,57.9946
SYMPK,4.42528,40.7145
SYNE1,4.96542,44.0963
SYNE2,2.09683,41.2355
SYNE4,0.135429,38.0974
SYNJ1,2.40691,42.2386
SYNJ2,1.74619,43.6875
SYNPO,2.4569,37.4815
SYNPR,0.423253,43.3614
SYNRG,1.22144,42.5841
SYPL1,0.875629,42.6845
SYPL2,0.176995,42.0084
SYT10,6.22804,46.1723
SYT11,0.829795,42.957
SYT12,0.0796948,42.3933
SYT13,6.08292,58.0534
SYT14,0.890857,58.1113
SYT15,0.521174,45.5754
SYT16,0.890857,40.2186
SYT17,5.22416,39.991
SYTL1,1.83525,45.9943
SYTL2,4.74847,44.6434
SYTL3,1.84,45.3685
SYTL4,5.26188,41.3982
SYTL5,1.84263,44.3938
SYVN1,0.0406331,41.6033
SZRD1,2.73343,43.9261
TAAR1,0.0475877,58.2977
TAAR9,0.42502,46.8568
TACC1,4.67537,40.4845
TACC2,4.67429,42.1726
TACC3,3.52336,38.8318
TACO1,5.62611,41.5226
TACR1,0.11666,39.7478
TACR2,1.93633,46.6912
TACR3,1.06789,46.9653
TADA1,4.1845,42.0445
TADA3,4.2071,39.6156
TAF10,3.62218,41.3364
TAF11,3.61427,41.1808
TAF12,3.62235,40.9631
TAF13,3.62282,43.0246
TAF15,3.62835,39.4004
TAF1A,3.6589,41.9332
TAF1B,3.65513,41.6896
TAF1C,3.61257,41.6475
TAF1D,3.65678,40.4887
TAF1L,3.61676,43.4434
TAF4B,3.61353,44.3565
TAF5L,4.18585,41.6541
TAF6L,3.63876,41.8529
TAF7L,3.63057,42.3341
TAF9B,3.61675,41.9762
TAGAP,5.16921,58.3453
TAGLN,2.22921,40.0997
TANC1,3.49591,45.842
TANC2,4.58825,44.0243
TAOK1,3.85843,42.3395
TAOK2,6.16438,40.723
TAOK3,4.16064,44.4535
TAPBP,0.131028,43.9848
TAPT1,0.745124,42.2817
TARS2,0.876605,42.9934
TASP1,1.99015,46.7785
TBATA,2.32457,46.8027
TBCEL,4.82692,45.0847
TBL1X,4.25145,41.6147
TBL1Y,3.00399,41.56
TBPL1,1.28246,42.0692
TBPL2,3.66094,42.3944
TBRG1,4.53908,43.7368
TBRG4,0.739336,39.7082
TBX15,4.81989,43.3422
TBX18,4.97181,45.4929
TBX19,4.82313,42.7338
TBX20,4.28924,43.5414
TBX21,1.64965,47.3079
TBX22,4.87821,44.9293
TCAF1,5.34778,40.3976
TCAF2,0.357748,41.6021
TCEA1,2.68035,40.4497
TCEA2,4.89662,37.7675
TCEA3,4.15278,48.4833
TCF12,4.73812,38.9607
TCF19,4.91341,41.8267
TCF20,4.30012,41.1685
TCF21,4.73843,44.7376
TCF23,4.73585,45.0417
TCF24,4.74789,47.1092
TCF25,5.94336,41.1205
TCFL5,4.39395,48.4172
TCL1A,4.59759,40.2533
TCL1B,3.54928,40.4481
TCOF1,1.77178,40.9995
TCP10,1.14479,57.9868
TCP11,5.30221,43.4668
TCTE3,4.08379,48.3261
TCTN1,6.05284,41.2646
TCTN2,0.0905555,38.7738
TCTN3,5.47082,43.0811
TDGF1,6.01927,40.5464
TDRD1,2.33681,47.5548
TDRD3,3.90961,45.0531
TDRD7,4.67361,44.1961
TDRD9,2.32128,48.5504
TDRKH,0.981489,43.6947
TEAD1,4.62556,42.5639
TEAD2,4.62683,41.8958
TEAD3,4.35962,44.1358
TEAD4,5.50761,39.3169
TEDC1,4.2846,42.7111
TEDC2,5.46722,43.4715
TEKT1,5.06965,41.7054
TEKT2,5.59296,41.9187
TEKT3,4.95084,40.5746
TEKT4,5.07128,38.0109
TEKT5,4.85633,40.4276
TELO2,1.04607,41.1506
TENM1,1.49097,48.1812
TENM3,6.17345,44.0487
TENM4,5.44552,44.0594
TENT2,4.99468,44.8282
TERB2,4.97695,58.0636
TERF1,3.12014,39.8597
TERF2,3.64498,40.6387
TESK1,2.23801,45.2864
TESK2,3.06158,42.4945
TEX10,3.74275,41.6117
TEX11,5.13507,39.2213
TEX12,5.0938,42.3154
TEX14,4.78638,44.5266
TEX15,0.0272149,45.6113
TEX19,5.48672,46.5858
TEX28,0.864969,40.9253
TEX29,0.410724,40.1507
TEX33,5.24231,42.785
TEX35,1.98702,41.1235
TEX37,4.86303,40.5239
TEX43,4.60778,44.3285
TEX44,0.317852,42.8713
TEX45,1.16094,41.6917
TEX47,5.76328,47.8845
TEX48,5.64633,45.7946
TFAP4,4.40811,40.5007
TFB1M,3.45483,43.3377
TFB2M,1.15992,42.4632
TFCP2,4.41333,38.8746
TFDP1,3.60586,41.0637
TFDP2,3.6128,42.9818
TFDP3,2.58661,41.3929
TGFB1,5.96798,38.4916
TGFB2,6.21483,43.433
TGFB3,6.20908,44.0699
TGFBI,6.03103,45.4625
TGIF1,4.36809,41.9578
THADA,1.01833,40.503
THAP1,4.55637,38.2244
THAP2,3.80721,44.9819
THAP3,4.67212,46.1155
THAP4,0.42281,39.9452
THAP6,5.17817,42.5097
THAP7,5.72399,38.3488
THAP8,4.63064,43.6351
THAP9,2.74373,45.2937
THBS1,6.13825,40.9334
THBS2,6.15596,42.1897
THBS3,2.0562,39.1681
THBS4,2.05452,49.2519
THEM4,1.358,42.7092
THEM5,4.75781,47.1259
THEM6,0.207964,44.4472
THG1L,2.54871,41.2565
THOC1,3.90983,38.8485
THOC2,3.14867,38.7437
THOC3,3.14058,41.503
THOC5,3.14081,39.6452
THOC6,3.86838,41.0984
THOC7,3.16554,39.9903
THOP1,2.22351,40.3695
THRSP,5.06342,46.4653
THSD4,4.43677,42.1443
THTPA,1.00007,42.1686
THYN1,3.13706,44.5354
TIAF1,4.94281,46.0093
TIAL1,2.25629,39.1576
TIAM1,1.70844,41.8159
TIAM2,2.36681,44.3986
TICRR,3.64219,45.2448
TIFAB,4.57709,48.6587
TIGAR,2.22065,44.2673
TIGD2,1.73814,57.9406
TIGD3,4.29127,43.8235
TIGD4,5.77112,47.263
TIGD5,5.52901,39.9563
TIGD6,1.86762,42.045
TIGD7,5.69127,45.0086
TIGIT,0.376167,43.6852
TIMD4,1.40567,57.8148
TIMM9,2.07428,41.5468
TIMP1,6.14192,42.7052
TIMP2,2.15787,41.2072
TIMP3,6.14308,41.1301
TIMP4,0.555075,58.2648
TINAG,5.51352,41.3943
TINF2,3.12732,41.1315
TIPIN,4.28422,41.1196
TIPRL,2.58789,40.6126
TIRAP,1.65746,40.7235
TJAP1,5.59756,41.4304
TKTL1,5.97381,44.4959
TKTL2,2.24855,43.4498
TLCD1,0.474348,43.6708
TLCD2,0.145809,58.7716
TLDC1,1.88914,42.6277
TLDC2,1.90301,44.8916
TLR10,1.15528,44.6396
TM2D1,6.07141,48.5948
TM2D2,0.191188,42.4083
TM2D3,0.184596,40.9943
TMA16,3.44873,41.2868
TMCC1,0.864969,58.096
TMCC2,5.20462,40.6606
TMCC3,0.879038,45.6356
TMCO1,1.37701,40.3878
TMCO2,0.698601,44.2621
TMCO3,0.32563,40.3217
TMCO4,2.00317,46.9574
TMCO6,1.08845,43.5617
TMED1,1.16782,43.5496
TMED2,1.10063,37.077
TMED3,0.144495,43.0715
TMED4,1.16968,41.4204
TMED5,1.10677,44.4021
TMED6,0.0669836,40.4676
TMED7,1.08921,41.966
TMED8,0.392891,40.3208
TMED9,1.84792,40.6711
TMEM9,0.660769,41.2094
TMLHE,6.25397,47.6306
TMOD1,2.4795,40.4202
TMOD2,2.5943,41.8286
TMOD3,2.47159,37.3075
TMOD4,2.5402,42.0105
TMPPE,0.20081,39.2422
TMTC2,0.271023,46.5406
TMTC3,0.107546,41.9381
TMTC4,0.264303,41.5892
TMUB1,0.233373,41.5358
TMUB2,0.617832,41.4727
TNIP1,4.80013,38.4418
TNIP2,4.02355,42.5005
TNIP3,5.2069,41.7036
TNKS2,3.11778,40.5428
TNNC1,4.80373,45.7095
TNNC2,1.7692,45.7453
TNNI1,4.76834,39.9623
TNNI2,4.58728,42.1769
TNNI3,1.76932,41.2399
TNNT1,4.52234,39.4636
TNNT2,4.28278,42.6506
TNNT3,5.71965,44.839
TNPO1,1.16137,38.2062
TNPO2,0.845743,38.1134
TNPO3,1.03727,38.7652
TOMM5,3.88133,48.3981
TOMM6,0.459237,43.1448
TOMM7,1.31098,41.9036
TONSL,4.28379,43.6862
TOP2A,4.20513,39.5758
TOP2B,4.18241,40.1734
TOP3A,1.96417,41.0027
TOP3B,5.31779,41.4235
TOR1A,0.0900746,41.607
TOR1B,0.0615951,42.9108
TOR2A,4.36586,46.5658
TOR3A,6.23902,41.3709
TPCN1,0.261926,43.9671
TPCN2,0.835275,39.4702
TPD52,2.5417,40.0491
TPGS1,5.94128,44.9935
TPGS2,5.68489,43.0415
TPPP3,1.38968,58.0212
TPRA1,0.019122,41.0975
TPRG1,0.453044,42.1644
TPRKB,2.53515,40.5008
TPRX1,5.07383,42.4237
TPSB2,6.02435,42.52
TPSG1,0.194654,46.527
TPST1,6.18305,44.3326
TPST2,0.0931223,43.3406
TPTE2,2.53401,41.8025
TRA2A,3.86218,37.7444
TRA2B,4.1338,39.5905
TRABD,1.31476,42.9002
TRADD,2.06909,40.9828
TRAF1,5.14876,36.1805
TRAF2,5.7702,34.5123
TRAF3,2.06702,38.3944
TRAF4,5.71261,37.563
TRAF5,5.77864,39.345
TRAF6,1.63573,34.5768
TRAF7,4.38387,40.742
TRAIP,1.79325,42.3392
TRAK1,4.98483,43.5979
TRAK2,2.53223,40.8504
TRAM1,1.0972,42.6088
TRAM2,0.769436,48.2815
TRAP1,2.1418,39.9073
TRAT1,1.58364,43.629
TRBC1,6.06007,48.1005
TRBC2,6.05741,58.0336
TRBV2,2.58987,46.1305
TREM1,1.27782,45.6893
TREM2,0.701647,59.2764
TREX1,0.529561,40.6991
TREX2,2.09571,43.6357
TRHDE,0.101267,42.999
TRIB1,3.93327,41.5471
TRIB2,4.64791,42.0133
TRIB3,4.94383,38.0034
TRIM2,5.6185,42.2595
TRIM3,5.62015,40.9835
TRIM4,5.82833,43.8328
TRIM5,2.40297,42.0895
TRIM6,2.42007,45.5187
TRIM7,4.61935,41.602
TRIM8,5.35121,41.5217
TRIM9,0.796723,41.1998
TRIP4,3.50309,43.1259
TRIP6,5.82344,35.8566
TRIT1,2.85409,48.5468
TRMT1,2.56155,39.9477
TRMT6,2.60745,40.3832
TRNT1,2.3097,41.7476
TROAP,5.3199,40.9108
TRPA1,5.89979,44.9184
TRPC1,1.12757,41.3132
TRPC3,0.816029,40.7546
TRPC4,2.27307,42.7858
TRPC5,1.12383,42.6619
TRPC6,1.11897,42.1798
TRPC7,5.91703,46.3737
TRPM1,0.866345,46.3321
TRPM2,1.81426,44.7328
TRPM3,4.08603,45.1987
TRPM4,0.803294,42.4656
TRPM5,5.60522,47.8451
TRPM6,1.46704,44.4982
TRPM7,1.4676,40.9102
TRPM8,0.646136,42.4071
TRPS1,4.33535,42.0166
TRPT1,5.87973,44.231
TRPV1,5.89964,40.8085
TRPV2,5.89413,46.3244
TRPV3,5.89303,46.35
TRPV4,5.90078,41.4239
TRPV5,2.08537,40.7578
TRPV6,5.55933,41.019
TRRAP,4.28759,39.5071
TRUB1,2.64434,45.9297
TRUB2,2.7696,41.5835
TSACC,4.01108,45.9348
TSEN2,4.7489,41.1635
TSHZ2,5.1423,42.4018
TSHZ3,5.19673,40.9058
TSNAX,4.61163,38.0543
TSPO2,0.542131,39.8187
TSPY1,3.72055,46.1284
TSPY2,4.25065,48.297
TSPY3,4.25562,46.9764
TSSC4,3.87544,39.265
TSSK2,4.92116,43.9001
TSSK3,5.02905,39.559
TSSK4,1.80163,45.9131
TSTA3,2.18241,41.4285
TSTD2,5.29676,42.0686
TTBK1,1.73653,41.8249
TTBK2,1.70086,42.7929
TTC12,5.25904,45.4676
TTC14,5.72654,47.3608
TTC17,0.103599,40.9945
TTC19,4.93581,39.532
TTC23,4.97533,38.5494
TTC25,4.69509,41.8844
TTC26,4.70054,44.6204
TTC27,2.37937,42.2103
TTC28,0.728069,42.7502
TTC29,2.93364,42.6314
TTC31,3.48861,43.0801
TTC32,5.00498,43.6806
TTC33,2.89569,42.7505
TTC37,3.40762,42.0228
TTC38,2.29859,43.1228
TTC7A,1.95217,45.3642
TTC7B,5.53386,44.305
TTC9B,2.31323,45.5415
TTC9C,3.19103,39.6539
TTLL1,4.52964,41.9056
TTLL2,1.11669,48.0508
TTLL3,2.80094,43.4264
TTLL4,1.78264,45.405
TTLL5,4.67162,42.2649
TTLL6,1.55492,46.5761
TTLL7,3.93431,42.8419
TTLL9,2.99533,45.1985
TTPAL,2.15437,48.8803
TTYH1,3.92608,47.1153
TTYH2,1.79177,45.1888
TTYH3,0.172678,41.6022
TUBA8,3.77777,42.5316
TUBB1,6.10645,39.8351
TUBB3,5.96278,36.851
TUBB6,2.20361,41.3668
TUBB8,6.10191,38.5465
TUBD1,2.86675,45.0678
TUBE1,2.8681,40.5525
TUBG1,1.98481,37.1683
TUBG2,2.79579,41.7769
TUFT1,4.94442,42.6714
TULP2,3.7223,41.1138
TULP3,4.07754,39.855
TULP4,3.50381,47.1807
TUSC1,4.38936,48.3854
TUSC2,2.2693,44.425
TUSC3,0.112172,41.9224
TWSG1,0.404621,43.7987
TXLNA,5.01209,37.5962
TXLNB,5.05744,38.9786
TXLNG,2.88921,41.7863
TXNIP,4.2621,41.3827
TXNL1,2.92968,40.1628
TYRO3,1.54845,40.8993
TYRP1,1.30098,44.9576
TYW1B,0.961377,43.1012
U2AF1,3.80296,38.5782
U2AF2,4.13035,37.344
UBA52,2.82566,39.1238
UBAC1,5.69591,38.9314
UBAC2,1.09059,41.3403
UBAP1,4.50866,43.9611
UBAP2,4.904,39.5653
UBBP4,2.61118,48.8368
UBE2A,2.82269,39.4738
UBE2B,2.82652,39.6809
UBE2C,2.85145,40.5643
UBE2F,2.67865,44.0614
UBE2H,2.2246,41.8018
UBE2I,4.19081,35.37
UBE2K,4.44403,39.1202
UBE2M,3.52519,39.5697
UBE2N,1.87362,38.7762
UBE2O,4.37486,39.5659
UBE2S,3.17633,40.7506
UBE2T,3.52963,41.9425
UBE2U,4.8238,45.1504
UBE2W,4.50568,41.7472
UBE2Z,3.15705,42.2937
UBE3A,2.9531,38.1171
UBE3B,5.60759,44.7578
UBE3C,2.91851,41.4757
UBE3D,4.63438,42.2999
UBE4A,1.04842,42.1323
UBE4B,2.84963,39.7144
UBFD1,2.28914,40.5879
UBL4A,1.94119,39.6531
UBL4B,5.71206,44.3608
UBOX5,4.2095,44.6196
UBTD1,4.49895,42.6988
UBTD2,1.46229,41.0603
UBXN1,2.82615,38.4115
UBXN4,1.18097,42.6182
UBXN6,2.42658,42.0549
UBXN7,2.73457,39.6286
UBXN8,0.557643,43.9683
UCHL1,2.13801,41.6921
UCHL3,2.22208,39.3543
UCHL5,2.92449,38.6913
UCKL1,0.760103,42.7026
UEVLD,2.83356,58.0239
UFSP1,4.86758,40.5194
UFSP2,0.298618,40.9196
UGGT1,2.03196,40.3386
UGGT2,5.66932,44.323
UHMK1,4.01497,39.4852
UHRF1,3.20569,40.62
UHRF2,4.06653,41.1861
UIMC1,4.22594,41.4349
ULBP1,0.213721,44.1911
ULBP2,0.197479,42.0718
ULBP3,0.209444,41.908
UMAD1,1.99109,46.5974
UNC50,0.556979,41.1328
UNC5A,5.38547,46.4257
UNC5B,1.74889,47.0627
UNC5C,1.41299,46.558
UNC79,2.62502,45.9131
UNC80,4.33039,47.5166
UPF3A,0.928205,41.5588
UPF3B,3.93666,41.481
UPK1A,0.187307,38.6104
UPK1B,0.385277,39.5575
UPK3A,0.79732,45.8904
UPK3B,0.385277,58.1075
UQCC1,0.689801,41.5826
UQCC2,1.92449,41.5287
UQCC3,6.25192,44.1525
UQCRB,1.32986,39.2909
UQCRH,1.27006,40.2376
UQCRQ,1.27087,38.5725
URGCP,2.32897,46.7835
UROC1,4.24075,48.2687
USH1C,4.52353,43.1474
USH1G,5.16862,42.0278
USH2A,6.09548,45.7863
USP10,3.33124,40.8651
USP11,2.63475,39.8238
USP12,1.87169,43.219
USP13,2.94691,42.1281
USP14,2.92885,40.2002
USP15,2.96104,39.7562
USP16,3.21162,42.8419
USP18,1.09834,45.4485
USP19,2.5318,42.2027
USP20,4.68875,39.4292
USP21,1.57239,43.2063
USP22,1.13638,40.4691
USP24,3.5712,41.8952
USP25,5.86575,41.0348
USP26,1.98714,48.3484
USP28,3.46203,41.7603
USP30,6.26436,41.4722
USP32,0.762712,41.7433
USP33,1.22555,41.3808
USP34,2.85251,40.0115
USP35,1.84043,48.0444
USP36,3.31316,43.5271
USP37,3.08284,44.2956
USP38,1.07828,45.2779
USP39,3.81721,40.5684
USP41,1.09834,58.1298
USP42,4.68105,45.9058
USP43,2.9515,41.6108
USP44,3.4427,58.4731
USP45,4.37512,44.0626
USP46,1.85931,42.1834
USP47,2.67085,39.1075
USP48,5.67854,41.4569
USP49,5.29733,46.1064
USP50,2.80348,58.0534
USP53,1.52065,44.9322
USP54,4.89229,38.3476
USP9X,2.85039,39.2002
USP9Y,4.4549,43.9434
USPL1,4.76502,47.1141
UTP11,4.24432,43.6943
UTP15,3.74161,41.1561
UTP18,3.78326,42.778
UTP20,1.06139,41.4213
UTP23,5.79185,39.6913
UTP25,4.32956,42.1939
UVRAG,1.77249,42.8981
UVSSA,4.4416,45.1868
VAC14,4.87567,37.806
VAMP1,0.569572,41.1119
VAMP2,0.834969,38.3289
VAMP3,0.552948,38.4053
VAMP4,0.581279,38.9536
VAMP5,0.519382,39.9415
VAMP7,0.809119,42.5122
VAMP8,0.874602,42.0311
VARS2,2.08186,42.1292
VASH1,2.38671,43.939
VASH2,1.06712,58.7954
VAT1L,0.298504,44.7451
VCAM1,6.15315,41.8443
VDAC1,1.33112,37.5935
VDAC2,1.321,38.0048
VDAC3,1.34451,38.1467
VEGFA,6.17875,41.1817
VEGFB,6.18884,43.1597
VEGFC,0.952191,45.0682
VEGFD,6.10239,42.8989
VENTX,4.85176,38.6877
VEPH1,2.14945,44.3917
VEZF1,4.84688,39.5136
VGLL1,5.05144,42.7863
VGLL2,4.63165,47.1123
VGLL3,5.3697,39.4435
VGLL4,4.44511,44.005
VIPR1,0.0203437,40.5677
VIPR2,0.12103,38.1955
VIRMA,4.39035,43.1557
VLDLR,6.25878,43.254
VMA21,0.587902,40.092
VOPP1,4.22962,58.062
VPS11,2.83839,41.5874
VPS16,1.12046,40.1725
VPS18,2.03541,40.5367
VPS25,2.95334,40.5682
VPS28,4.33385,38.3269
VPS29,2.01093,39.1376
VPS35,2.95324,40.1315
VPS36,2.95462,41.3307
VPS39,2.55012,42.5792
VPS41,3.19538,42.3665
VPS45,0.672517,41.9605
VPS4A,1.90195,41.7049
VPS4B,1.91159,38.4108
VPS50,1.82834,41.0365
VPS51,1.84418,42.409
VPS52,5.27603,37.8857
VPS53,1.82961,42.0572
VPS54,1.82993,45.043
VPS72,4.27856,40.2992
VSIG1,0.845173,39.1804
VSIG2,1.05961,41.0048
VSIG4,1.00513,38.9872
VSIG8,2.02465,40.3077
VSNL1,0.932261,41.658
VSTM1,0.587055,41.5842
VSTM4,5.41102,44.3284
VTCN1,0.18426,58.0318
VTI1A,0.781837,43.8874
VTI1B,0.673233,37.8001
VWA3B,4.31574,47.1259
VWA5A,5.84587,40.3773
VWC2L,5.35446,41.4572
WARS2,6.03695,46.3644
WASF1,3.46892,39.8476
WASF2,3.48153,40.8564
WASF3,3.47277,41.3684
WBP11,3.8548,40.1582
WBP1L,0.888694,46.2216
WDFY1,1.08222,40.865
WDFY2,0.787195,40.8594
WDFY3,0.799879,39.8879
WDHD1,2.14118,40.9777
WDR11,2.92086,42.6351
WDR12,3.15716,40.1196
WDR13,1.02063,46.1316
WDR18,3.84891,40.9775
WDR19,3.24016,43.0949
WDR20,1.8695,42.4607
WDR24,2.64218,44.4141
WDR25,5.0839,41.1156
WDR26,4.25032,40.2836
WDR27,2.33535,48.2803
WDR33,3.9297,40.4125
WDR34,6.04934,40.7537
WDR35,3.25668,42.4826
WDR36,3.72583,40.3423
WDR37,2.98215,42.3301
WDR41,0.315692,44.2266
WDR43,3.79187,43.3724
WDR44,0.841589,40.5559
WDR45,5.94854,43.4825
WDR46,3.76561,38.8377
WDR47,5.59389,42.1182
WDR48,2.85169,40.8647
WDR49,1.95762,48.7678
WDR53,2.66504,45.5251
WDR54,4.56417,41.6978
WDR55,3.86965,42.474
WDR59,2.83356,41.7739
WDR5B,2.80513,42.3436
WDR60,1.83692,43.0672
WDR61,2.83413,40.021
WDR62,4.16991,40.6894
WDR70,3.86824,43.2708
WDR73,2.10782,42.5874
WDR74,3.32814,40.9229
WDR75,3.80786,42.166
WDR76,3.86602,41.6295
WDR77,3.88296,40.7337
WDR81,0.623331,48.2806
WDR82,3.94638,42.5338
WDR83,4.1663,38.3889
WDR86,2.86709,42.9972
WDR89,3.59467,44.4002
WDR90,4.66596,41.9553
WDR91,2.68788,43.1084
WDR92,3.55653,41.1186
WDR97,3.51332,48.558
WDTC1,2.8773,41.9055
WFDC2,0.627089,41.5339
WFDC3,5.39559,48.5203
WFDC5,5.7486,44.8624
WFDC6,5.36499,47.5708
WFDC9,5.8711,45.1038
WHAMM,1.29404,58.4074
WIPF1,1.52428,41.915
WIPF2,2.51919,42.7874
WIPF3,3.26719,46.0141
WIPI1,4.09605,43.3683
WIPI2,2.41128,40.9156
WISP1,5.37341,46.2547
WISP2,5.64362,43.1818
WISP3,6.16264,44.1925
WNT11,5.43744,41.6204
WNT16,0.0558454,42.6512
WNT2B,0.00419864,45.4145
WNT3A,0.0429311,41.3044
WNT5A,6.17992,40.6302
WNT5B,0.0393601,43.4968
WNT7A,6.15724,40.3834
WNT7B,6.15906,43.889
WNT8A,0.0746406,44.1928
WNT8B,6.23049,46.4023
WNT9A,6.21262,44.1955
WNT9B,6.15423,43.6069
WWTR1,4.33969,40.6226
XAGE2,4.42107,43.9994
XAGE3,4.45467,42.6848
XIRP1,2.40138,46.2226
XIRP2,2.35881,58.9205
XRCC1,3.19326,39.61
XRCC2,6.13655,43.5583
XRCC3,2.03268,37.6413
XRCC4,3.19451,40.1475
XRCC5,2.05458,38.9116
XRCC6,2.04412,37.4523
XYLT1,6.20771,46.3434
XYLT2,6.18913,42.706
YARS2,2.77548,40.8832
YIF1A,0.464846,38.8591
YIF1B,2.35103,44.212
YIPF1,0.447668,40.9916
YIPF2,0.402552,41.2122
YIPF3,0.0367846,37.8662
YIPF4,0.452109,40.104
YIPF5,1.13175,39.6597
YIPF6,0.442191,38.5832
YLPM1,3.65969,41.544
YPEL1,2.93445,44.6577
YPEL2,5.04132,49.497
YPEL3,4.91703,37.9845
YPEL5,5.98948,40.4018
YWHAB,2.97191,36.7482
YWHAE,3.01411,37.162
YWHAG,3.86157,35.9983
YWHAH,3.21061,37.2701
YWHAQ,2.57793,37.0927
YWHAZ,3.02284,35.9198
ZADH2,1.92116,43.7791
ZAP70,1.54362,38.6922
ZBED1,4.62729,38.9985
ZBED4,5.75672,48.0147
ZBED6,4.34436,45.6707
ZBED8,5.06148,42.7828
ZBED9,5.32586,44.4667
ZBTB1,5.27456,41.7807
ZBTB2,4.30068,40.3531
ZBTB3,4.95395,45.5589
ZBTB4,5.03086,42.2306
ZBTB5,5.72318,41.962
ZBTB6,4.56401,43.5236
ZBTB9,5.2615,40.3571
ZC3H3,3.7673,38.1662
ZC3H4,3.453,41.6623
ZC3H8,3.78506,42.3526
ZC4H2,5.25993,41.5119
ZCRB1,3.75619,39.9345
ZDBF2,4.10251,43.9328
ZFHX2,5.34553,45.5337
ZFHX3,5.00268,40.766
ZFHX4,5.28762,46.1768
ZFP14,5.22355,48.7791
ZFP28,3.02076,46.1757
ZFP36,3.05714,42.1547
ZFP37,3.76574,49.8827
ZFP41,5.65567,39.3905
ZFP42,4.50145,45.0125
ZFP57,4.7498,43.9228
ZFP62,3.74386,42.6995
ZFP64,5.48563,41.5716
ZFP90,5.07465,41.8454
ZFP91,3.65533,40.9416
ZFPL1,0.51687,39.0028
ZFPM1,4.96197,44.5968
ZFPM2,4.06502,44.9054
ZG16B,0.949456,39.4122
ZGPAT,5.16031,38.7227
ZGRF1,2.03352,46.1847
ZMAT1,5.11096,42.0896
ZMAT2,5.12672,40.2306
ZMAT3,3.71212,42.0813
ZMAT4,2.07377,42.6656
ZMAT5,4.6602,41.0369
ZMIZ1,3.72086,46.1096
ZMIZ2,4.80908,42.0162
ZMYM1,3.84318,41.226
ZMYM2,4.59177,40.6045
ZMYM3,5.99589,40.4763
ZMYM4,4.46139,41.8873
ZMYM5,4.60791,41.9129
ZMYM6,4.57778,40.4511
ZNF10,3.83699,46.2545
ZNF12,5.4522,44.7638
ZNF16,5.24481,43.8491
ZNF17,5.55145,42.6847
ZNF18,5.33506,43.6637
ZNF19,5.26937,41.6487
ZNF20,5.36355,40.762
ZNF22,3.73832,41.2592
ZNF23,5.45355,42.0765
ZNF24,5.33826,39.2862
ZNF25,2.7005,48.3091
ZNF26,5.4994,44.6853
ZNF28,1.71038,47.4963
ZNF30,4.61566,48.9699
ZNF32,5.52357,42.6171
ZNF34,4.87882,40.4834
ZNF35,5.19746,40.8242
ZNF41,5.84832,44.6649
ZNF44,4.86359,46.353
ZNF45,4.62403,58.0183
ZNF48,5.50276,41.1407
ZNF57,5.22177,44.2975
ZNF69,5.27496,43.7513
ZNF70,3.76364,45.6411
ZNF71,3.73182,39.7122
ZNF74,4.60561,46.0513
ZNF76,4.96363,38.6154
ZNF77,4.89423,43.8803
ZNF79,5.55848,43.6242
ZNF80,5.45025,43.9857
ZNF81,4.46004,46.0832
ZNF84,4.93909,45.1407
ZNF85,4.99928,44.387
ZNF91,3.9905,46.8708
ZNF92,4.44815,42.4775
ZNF93,3.65277,49.8883
ZNFX1,3.467,41.8545
ZNRD1,3.57237,44.7266
ZNRF1,4.50618,42.4686
ZNRF2,1.72542,46.2099
ZNRF3,0.0140775,44.7973
ZNRF4,0.301853,38.7337
ZPBP2,6.12936,42.7629
ZPLD1,0.35294,43.1233
ZRSR2,3.91916,39.7973
ZWINT,3.44692,38.9997
ZZEF1,1.08666,39.1635
10-Sep,4.49741,44.36
11-Sep,2.76567,48.9677
14-Sep,4.497,46.1771
A4GALT,0.100942,44.6186
AARSD1,2.546,39.0532
ABCA13,3.72214,58.1483
ABCB10,0.190475,41.4248
ABCB11,4.64193,58.1623
ABCC10,0.289305,43.5731
ABHD10,2.92337,45.9501
ABHD11,4.87264,41.9049
ABHD12,0.295162,44.699
ABHD15,5.47573,42.7135
ABHD18,0.902774,42.3224
ABI3BP,4.67461,46.8371
ABLIM1,2.47356,40.3234
ABLIM2,2.3279,45.0284
ABLIM3,4.80386,42.864
ABRACL,1.59814,58.084
ACAD10,0.822,41.2674
ACAD11,3.83008,40.7453
ACADSB,6.00276,44.0561
ACADVL,1.95278,41.3919
ACOT11,4.97218,43.2029
ACOT12,4.58203,42.8261
ACOT13,1.92136,41.6088
ACSBG1,3.06655,58.6727
ACSBG2,1.08842,46.6127
ACSM2B,4.77741,48.3922
ACTBL2,2.40354,37.7211
ACTL6A,4.22352,39.5317
ACTL6B,4.24709,41.4168
ACTL7A,2.65919,57.9848
ACTR10,2.72701,40.6305
ACTR1A,2.72687,40.0645
ACTR1B,2.72322,39.7046
ACTR3B,2.51176,40.9149
ACTR3C,0.00364385,44.8909
ACTRT1,2.43831,44.1467
ACVR1B,0.955466,40.2612
ACVR1C,6.02358,45.8698
ACVR2A,0.943558,40.5589
ACVR2B,0.956987,39.6352
ACVRL1,1.2137,41.5736
ADAM10,6.27045,42.1536
ADAM11,6.14155,45.8611
ADAM12,5.36088,40.4976
