0,theta,r
TKT,2.22657,37.1845
TNC,1.75714,43.9536
TNF,0.65453,37.7141
TNN,1.91991,45.9329
TNR,4.53404,43.5333
TOX,4.91287,43.4642
TPR,3.48734,39.714
TRH,5.83987,45.2116
TRO,3.40625,42.3902
TSN,2.68965,40.2758
TST,1.82124,42.5567
TTK,0.897142,38.8689
TTL,2.12353,43.0717
TTN,4.3322,40.321
TTR,2.12956,39.7512
TUB,1.6802,44.7331
TXK,5.51611,40.4397
TXN,2.24284,38.0298
TYR,1.55398,46.888
UBB,1.5229,36.7666
UBC,1.56656,37.312
UBD,2.91656,43.3703
UCN,0.343781,45.4366
UNG,3.1883,42.9797
UNK,2.83271,41.0393
UST,0.0506333,42.1402
UTY,3.00352,46.3506
UXT,3.56697,39.8828
VCL,2.31599,38.3185
VCP,1.76534,37.346
VCX,4.60339,45.603
VDR,4.07907,39.9482
VHL,1.64254,35.7017
VIM,3.06726,36.5632
VIP,6.0957,42.8196
VIT,5.9544,46.5963
VTN,3.95755,37.9338
VWF,6.13583,44.1488
VXN,4.96054,45.28
WAC,4.63127,41.3739
WAS,1.66558,39.876
WIZ,4.31071,39.4444
WLS,0.0559813,42.8563
WRB,0.539195,40.5714
WRN,3.6314,40.9244
WT1,5.49089,40.5637
XDH,5.74223,45.3795
XPA,4.21983,40.5882
XPC,3.78825,39.7287
YY1,4.05814,38.438
YY2,1.91641,58.0957
ZFR,3.79044,41.3448
ZFX,4.56758,46.0985
ZFY,4.56464,43.9646
ZP3,0.51723,47.0151
ZYX,3.06526,37.2914
A1BG,5.68661,42.0592
A1CF,4.99299,41.552
AAAS,2.73897,43.1234
AACS,2.2728,45.1748
AAK1,2.42193,41.7307
AAMP,1.79796,41.3605
AAR2,3.88005,41.8865
AARD,5.1462,42.8976
AARS,2.60236,40.4581
AASS,1.35943,46.6732
AATF,3.70706,41.5698
AATK,4.90085,46.9668
ABAT,2.27996,42.1732
ABI1,3.47057,38.8075
ABI2,4.80259,36.1713
ABI3,4.65813,38.9932
ABL1,1.65284,36.2418
ABL2,1.55941,40.1328
ABRA,5.15005,47.3551
ABT1,4.53462,41.2662
ACAN,6.24081,43.7253
ACCS,2.31166,46.1382
ACE2,3.11815,47.1025
ACHE,5.61203,44.044
ACLY,1.74319,40.1821
ACO1,2.38492,42.8663
ACO2,2.22387,42.3538
ACP1,1.59814,40.6011
ACP2,0.228734,40.5698
ACP4,1.55308,49.3767
ACP5,5.63658,41.8218
ACP6,0.978119,42.4835
ACP7,5.72575,44.9317
ACPP,2.02745,41.8762
ACTB,2.48301,35.6157
ACY1,4.88789,41.5993
ACY3,5.07645,42.7059
ADA2,2.02551,46.9317
ADAL,5.97975,48.0289
ADAR,3.14533,41.108
ADD1,2.40539,39.7083
ADD2,1.71459,41.4549
ADD3,2.46219,41.5531
ADH4,3.33572,58.658
ADH5,2.26987,45.0207
ADH6,4.79871,48.4457
ADH7,1.74141,58.4959
ADI1,2.1476,42.2009
ADM2,1.07893,58.5188
ADNP,4.45902,41.3477
ADSL,2.65196,40.3373
ADSS,2.40564,40.5179
AFDN,2.57413,39.8629
AFF1,4.21139,41.1575
AFF3,4.02827,47.6367
AFF4,4.75427,41.0201
AGER,1.46687,41.3158
AGMO,0.545346,48.813
AGO1,3.17954,44.3856
AGO2,3.17958,42.3888
AGO3,3.00882,42.3499
AGO4,1.99408,58.1038
AGPS,1.8598,42.2251
AGR2,4.75195,38.9308
AGR3,0.746189,40.9703
AGRN,5.65515,43.0274
AGRP,5.66624,42.9435
AGXT,5.34159,40.646
AHCY,2.31117,40.4564
AHI1,1.49449,46.2228
AHRR,4.03929,48.782
AHSG,1.07782,42.9529
AHSP,4.55056,43.7287
AIDA,4.64027,42.6552
AIF1,2.11666,47.1974
AIG1,0.560024,40.3452
AIM2,2.49805,45.0598
AIRE,4.48595,41.1765
AKNA,3.88112,46.9476
AKT1,3.0401,34.7228
AKT2,3.04511,38.2009
AKT3,3.03533,39.657
ALAD,2.69545,41.722
ALG1,5.05628,45.7951
ALG2,0.946427,43.225
ALG3,0.596385,43.0682
ALG5,0.220573,42.8792
ALG6,0.289469,43.4613
ALG8,0.246023,40.752
ALG9,0.0961281,41.0313
ALPG,6.0316,43.7497
ALPI,5.90713,41.5659
ALPL,3.07367,43.3967
ALPP,5.42346,40.7447
