source	target
WDR3	RRP9
WDR3	NSUN5
WDR3	TJP1
SAMD4B	SAMD4A
SAMD4B	PDP1
SAMD4B	YWHAE
SAMD4B	ACTA2
SAMD4B	NUTM1
SAMD4B	CCDC179
MLF2	MMS19
MLF2	BAG2
MLF2	AIFM1
MLF2	ABCD3
MLF2	RGS20
MLF2	CIAO1
MLF2	FAM96B
MLF2	PMVK
MLF2	GCN1
MLF2	KIF15
MLF2	POP1
MLF2	RPP30
MLF2	USP19
DLG5	SORBS3
DLG5	CCDC18
DLG5	FOPNL
DLG5	SSX2IP
DLG5	OFD1
DLG5	MARK3
DLG5	PCM1
DLG5	KIAA0753
DLG5	PIBF1
DLG5	DDX21
DLG5	CEP72
DLG5	CEP131
DLG5	MTCL1
LMO1	TAL1
LMO1	GOLGA2
LMO1	CEP170
LMO1	RBBP8
LMO1	CDX4
LMO1	ZBTB43
LMO1	LPXN
LMO1	TRIM27
LMO1	TCF4
LMO1	PTPN3
LMO1	SOX5
LMO1	REL
LMO1	GABPB1
LMO1	AES
LMO1	FAM208B
LMO1	KANK2
LMO1	KRT40
LMO1	ADAMTSL4
LMO1	NUTM1
LMO1	PHC2
LMO1	SAXO1
LMO1	SPERT
LMO1	CDCA7L
LMO1	LZTS2
LMO1	CEP44
LMO1	BCL11A
LMO1	CARD9
LMO1	BLZF1
LMO1	ZNF219
LMO1	TFIP11
LMO1	IKZF3
LMO1	NAGK
LMO1	NHLH1
LMO1	ZNF143
LMO1	TSC22D4
LMO1	ZNF641
LMO1	ZNF526
LMO1	CCDC88B
LMO1	HNRNPH1
LMO1	LDB2
LMO1	HSPB2
LMO1	KRT75
LMO1	MBD3L1
LMO1	ZNF24
LMO1	BANP
LMO1	BNC2
LMO1	ZNF417
LMO1	ZCCHC12
LMO1	ZNF620
LMO1	ZNF354C
LMO1	WASHC1
LMO1	CEP57L1
LMO1	ZFP90
LMO1	HGS
LMO1	IKZF1
LMO1	KRT16
LMO1	ZNF177
LMO1	ZNF460
LMO1	ZNF84
LMO1	ZNF511
LMO1	BHLHB9
LMO1	FBXO16
LMO1	HOMEZ
LMO1	ZNF688
LMO1	ISY1
LMO1	TCP10L
LMO1	HSPB2-C11orf52
LMO1	NDUFA7
LMO1	ZNF559-ZNF177
LMO1	ZBTB8B
LMO1	TADA2A
DNTTIP2	PICK1
DNTTIP2	RNF8
DNTTIP2	CEP70
DNTTIP2	CAVIN1
BMT2	DEPDC5
BMT2	SZT2
BMT2	C12orf66
BMT2	NPRL2
BMT2	NPRL3
BMT2	ACAD11
BMT2	ITFG2
BMT2	KPTN
BMT2	REN
BMT2	PER1
BMT2	MIF4GD
BMT2	GRN
BMT2	OGA
BMT2	TSR3
BMT2	TGFBRAP1
BMT2	CSNK1E
BMT2	VPS11
BMT2	SHMT1
BMT2	POLR2A
CTAGE6	MIA2
CTAGE6	MIA3
EPDR1	TRIP6
EPDR1	KRT31
EPDR1	HOXA1
EPDR1	TNS2
EPDR1	KRT34
EPDR1	ADAMTSL4
EPDR1	PM20D2
EPDR1	IGFBP6
EPDR1	KRTAP13-2
EPDR1	KRTAP10-8
EPDR1	EHMT2
EPDR1	KRTAP4-11
SLC38A6	ZG16B
SLC38A6	TF
SLC38A6	RBFOX3
SLC38A6	NPLOC4
SLC38A6	MUCL1
SLC38A6	MTCH2
SLC38A6	CYB5A
SLC38A6	APOB
SLC38A6	TRARG1
PACS1	TRPV1
TNXB	BANP
TNXB	FIGNL1
FAM219A	WDFY1
FAM219A	UBR3
FAM219A	SHPK
FAM219A	RAD50
FAM219A	OBSL1
FAM219A	NBN
FAM219A	MTA3
FAM219A	MTA2
FAM219A	MTA1
FAM219A	MRE11
FAM219A	MBD3
FAM219A	MARS2
FAM219A	KLHL24
FAM219A	GATAD2A
FAM219A	FBXW11
FAM219A	FBXO21
FAM219A	FBXO10
FAM219A	CTU2
FAM219A	BTRC
FAM219A	ATE1
FAM219A	PDE6D
FAM219A	POLA2
FAM219A	WWC1
FAM219A	GATAD2B
FAM219A	LIMS4
FAM219A	LIMS3
NRBP2	TSC22D4
NRBP2	TRIP10
NRBP2	CBL
NRBP2	CAMKK1
NRBP2	SOX10
NRBP2	PER3
CISD2	BCL2
CISD2	IKBKE
CISD2	AIG1
CISD2	PGAP2
CISD2	TMEM86A
CISD2	SERP2
CISD2	SLC13A3
CISD2	TSPAN33
CISD2	BMP10
CISD2	C4orf3
CISD2	NSG1
CISD2	NRG4
CISD2	GPR37L1
CISD2	TMEM43
CISD2	FAM241B
CISD2	C2CD2L
CISD2	TMEM187
CISD2	CYBC1
CISD2	YIPF6
CISD2	SNORC
CISD2	GAST
CISD2	C14orf180
CISD2	VKORC1L1
CISD2	LRP10
CISD2	RTP2
CISD2	PLPP4
CISD2	SLC35B4
CISD2	SMIM1
CISD2	KIR2DL3
L2HGDH	TGM1
L2HGDH	LCN2
L2HGDH	KLK10
L2HGDH	IVL
L2HGDH	GM2A
L2HGDH	CTSV
L2HGDH	A2ML1
L2HGDH	ACPP
L2HGDH	SERPINB4
SFR1	NDC80
SFR1	RNF40
SFR1	NMI
SFR1	HMBOX1
SFR1	RINT1
SFR1	CEP70
SFR1	MRFAP1L1
SFR1	TFIP11
NR1D1	NCOR1
NR1D1	NCOR2
NR1D1	TDO2
ZNF410	GOLGA2
ZNF410	FSD2
ZNF410	TRAF2
ZNF410	MTUS2
ZNF410	FAM9B
ZNF410	ZNF397
ZNF410	CEP70
ZNF410	RAB3IP
ZNF410	TSGA10
ZNF410	BLZF1
ZNF410	SERTAD1
ZNF410	LNX2
ZNF410	DVL2
ZNF410	CDKN2A
ZNF410	LRIF1
ZNF410	ABHD8
ZNF410	LMO2
ZNF410	CCNG2
ZNF410	RPRD1A
ZNF410	NOSIP
ZNF410	LMO4
ZNF410	POGZ
ZNF410	IRAK1BP1
ZNF410	UHRF2
ZNF410	RASSF3
ZNF410	VBP1
ZNF410	PPM1K
ZNF410	IQUB
ZNF410	POLR2G
ZNF410	LIMS1
