broad_id,InChIKey,Target,BDB Target
BRD-K99308908,DPYTYQFYDLYWHZ-UHFFFAOYSA-N,SCD,KCNH2
BRD-K70744942,HKROEBDHHKMNBZ-CHBKHGQFSA-N,TRPA1,"TRPV1, TRPV3"
BRD-K68982262,DJKJVWJQAVGLHJ-YPMHNXCESA-N,"ADORA1, AVPR1A, CCR1, CHRM1, CHRM2, CHRM3, CHRM4, DRD3, HTR1A, HTR1B, HTR2A, HTR2B, HTR3A, TACR2","HRH4, HRH1, HRH2, HRH3, HRH4"
BRD-K13944729,SCOOTUMXCXKEAD-UHFFFAOYSA-N,"GABRA1, GABRA4, GABRB3",
BRD-K00003450,HFZITXBUTWITPT-YWVKMMECSA-O,,
BRD-K00003109,BBLXLHYPDOMJMO-SNVBAGLBSA-N,,
BRD-K17443395,MCGSCOLBFJQGHM-SCZZXKLOSA-N,,ALB
BRD-K77432251,TYBHXIFFPVFXQW-UHFFFAOYSA-N,,
BRD-K00004970,ZFUKERYTFURFGA-PVVXTEPVSA-N,"GABBR1, GABBR2",
BRD-K65498798,PTRATZCAGVBFIQ-UHFFFAOYSA-N,MMP9,"CCR1, CCR1, CCR8, CCR1, CCR1, CCR8"
BRD-K00003158,AIWRTTMUVOZGPW-HSPKUQOVSA-N,GNRHR,
BRD-K00003108,LQPFCYWRBQRRGE-UHFFFAOYSA-N,,
BRD-K01825984,CAOTVXGYTWCKQE-BRNYJPRKSA-N,SPHK2,
BRD-K33622447,UZWDCWONPYILKI-UHFFFAOYSA-N,"CDK4, CDK6","CDK4, CDK6, CDK2, CDK1, CDK5, CDK7, CDK9, CDK4, CDK6, CDK1, CDK4, CDK6, CDK2, CDK1, CDK5, CDK7, CDK9, CDK6, CDK6, CDK1, CDK6, CDK1, CDK2, CDK4, CDK6, CDK1, CDK6, CDK1, CDK5R1, CDK4, CDK1, CDK2, CDK4, CDK1, CCNH, CCNT1, CCND1, CDK6, CDK1, CDK4, CCNT1, CDK6, CDK4, CDK1, CCND1, CDK4, CDK1, CDK4, CDK6, CDK6, CDK6, CDK4, CDK6, CDK4, CDK2, CDK2, CDK4, CDK6, CDK5R1, CDK1, CDK4, CCNT1, CCNH, CDK2, CDK2, CDK7, DYRK1A, CDK2, HIPK1, CDK1, CDK9, CDK4, CDK6, CAMK1, CDK6, CCNK, CDK2, CDK1, CDK2, CDK4, CDK6"
BRD-K50071428,GZOSMCIZMLWJML-VJLLXTKPSA-N,"CYP11B1, CYP17A1","CYP17A1, CYP3A4, CYP11B1, CYP17A1, CYP17A1, CYP21A2, CYP17A1, CYP19A1, CYP17A1, CYP17A1, CYP17A1, CYP11B1, CYP3A4, CYP17A1, CYP17A1, CYP17A1, CYP3A4, ABCC4, ABCC3, CYP17A1, CYP17A1, CYP17A1, CYP17A1, CYP17A1, CYP11B1, CYP19A1, CYP3A4, CYP17A1, CYP17A1, CYP19A1, CYP17A1, CYP11B1, CYP17A1, CYP21A2, CYP17A1, CYP17A1, CYP3A4, CYP17A1"
BRD-K24048528,UVIQSJCZCSLXRZ-UBUQANBQSA-N,CYP17A1,"CYP17A1, AR, CYP17A1"
BRD-K00004730,XMZSTQYSBYEENY-RMKNXTFCSA-N,,
BRD-A29844814,LVGMMVAWLISWJD-QMMMGPOBSA-N,,
BRD-K22749967,KFHYZKCRXNRKRC-MRXNPFEDSA-N,"HRH1, HRH2, HRH3","HRH1, HRH2, HRH3, HRH3, HRH4, HRH3, HRH3, HRH3, HRH3, HRH3, HRH3, HRH3, HRH3, HRH3, KCNH2, HRH3, HRH3, HRH3, HRH3, HRH3, HRH3, HRH3, HRH3"
BRD-K97233161,GDLNHSUSOZEAOR-UHFFFAOYSA-N,PTAFR,
BRD-K11792081,AGPIHNZOZNKRGT-CYBMUJFWSA-N,"CACNA1G, CACNA1H, CACNA1I","CACNA1C, CYP2C9, CYP2C19, CYP3A4, AHR"
BRD-K36021395,RQCXKDWOCUJWQZ-UHFFFAOYSA-N,ADK,"ADK, ADK, ADK, ADK, ADK, ADK, ADK, ADK"
BRD-K37714784,FRPJGTNLZNXQEX-UHFFFAOYSA-N,DRD4,"DRD4, DRD4, DRD2, DRD2, DRD2, DRD4, DRD4"
BRD-K56301217,HPLNQCPCUACXLM-PGUFJCEWSA-N,"BCL2, BCL2L1, BCL2L2","BCL2L1, MCL1, BCL2L2, MCL1, BCL2L1, BCL2L2, BCL2L1, MCL1, MCL1, BCL2L1, BCL2L1, MCL1, BCL2L1, MCL1, BCL2L1, BCL2A1, BCL2L1, MCL1, BAD, BCL2L1, BCL2L1, BCL2L2, MCL1, BCL2A1, MCL1, MCL1, BCL2L1, MCL1, BCL2L1, BCL2L1, BCL2L2, BCL2L1, BCL2L1, BCL2L1, BCL2L1, BCL2L1, BCL2L2, BCL2L1, BCL2L2, BCL2L1"
BRD-K91623615,URCVCIZFVQDVPM-UHFFFAOYSA-N,TUBB,
BRD-K00004603,SQZJGTOZFRNWCX-UHFFFAOYSA-N,,"CYP2C19, MGLL, MGLL, CYP2C9, CYP3A4, PLA2G7, PLA2G7"
BRD-K00003394,OZOGDCZJYVSUBR-UHFFFAOYSA-N,,
BRD-K53788420,HSMUKSLNDJOZQG-UHFFFAOYSA-N,ESR2,
BRD-K31144453,HSAOETBFVAWNRP-UHFFFAOYSA-N,RARB,"RARB, RARA, RARB, RARG, RARB"
BRD-K81548480,RQKXQCSEZPQBNZ-QSBCOWLBSA-N,F2RL1,
BRD-A27911617,UCUHFWIFSHROPY-SQEMJAKJSA-N,PARP2,
BRD-K93176058,HXBKPYIEQLLNBK-UHFFFAOYSA-N,"RARA, RARB","RARB, RARB, RARA, RARB, RARB"
BRD-K15819326,JVCWPUFNLFSKFS-UHFFFAOYSA-N,"CSF1R, FLT3, KIT, PDGFRA, PDGFRB","PDGFRA, PDGFRB, PDGFRA, FLT3, CYP3A4, FLT3, CYP2C19, CYP2C9"
BRD-A49544621,HIVBATDUVFEJFZ-IBGZPJMESA-N,UTS2R,
BRD-K53448858,RTRQQBHATOEIAF-UUOKFMHZSA-N,,
BRD-K64034691,WDENQIQQYWYTPO-IBGZPJMESA-N,BTK,"BTK, LYN, BTK, LYN, BTK, ITK, TEC, BTK, BTK, LYN, BTK, BTK, BTK, BTK, EGFR, BTK, BTK, TEC, ITK, ERBB4, JAK3, BTK, BTK, EGFR, BMX, BTK, BTK"
BRD-K92517771,DOCINCLJNAXZQF-LBPRGKRZSA-N,"PIK3CB, PIK3CD",
BRD-K26262077,AFCGFAGUEYAMAO-UHFFFAOYSA-N,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5",
BRD-K44276885,XUFXOAAUWZOOIT-SXARVLRPSA-N,"AMY2A, MGAM","GAA, GAA, GAA, GAA, GAA"
BRD-K68633617,RNGRUHWJJPTYNR-UHFFFAOYSA-N,GRM5,
BRD-K00003255,GERJIEKMNDGSCS-DQEYMECFSA-N,,
BRD-A29260609,GOEMGAFJFRBGGG-UHFFFAOYSA-N,ADRB1,"ADRB1, ADRB2, ADRB3, SLC22A1"
BRD-K07753030,KEECCEWTUVWFCV-UHFFFAOYSA-N,SCN5A,"ABCC4, ABCC3, KCNH2"
BRD-K01825000,WRJPSSPFHGNBMG-VIFPVBQESA-N,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",
BRD-K68538666,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,PTGS2,"ABCC4, ABCC3"
BRD-K97417064,AMTPYFGPPVFBBI-UHFFFAOYSA-N,,
BRD-K47195926,QCXJEYYXVJIFCE-UHFFFAOYSA-N,,
BRD-K44004064,HCYFGRCYSCXKNQ-UHFFFAOYSA-N,ADORA1,ADORA2B
BRD-K13619941,KSMRODHGGIIXDV-YFKPBYRVSA-N,,
BRD-K00003531,NHTKGYOMICWFQZ-LHFSRKHSSA-N,,
BRD-K67563174,FSQKKOOTNAMONP-UHFFFAOYSA-N,"PTGS1, PTGS2",
BRD-K36262466,SQVRNKJHWKZAKO-PFQGKNLYSA-N,"CES1, SELE, SELP",
BRD-A65051990,VABCILAOYCMVPS-HNNXBMFYSA-N,VKORC1,
BRD-K37814297,NOSIYYJFMPDDSA-UHFFFAOYSA-N,"ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A",PRNP
BRD-K50850824,YGCFIWIQZPHFLU-UHFFFAOYSA-N,,"CA2, CA9"
BRD-K11094367,FZERHIULMFGESH-UHFFFAOYSA-N,,
BRD-K99048103,ODFJOVXVLFUVNQ-UHFFFAOYSA-N,,
