"DRH ID code","Outcome","MolecularWeight","MonoisotopicMass","ExactMass","XLogP","TPSA","Complexity","Charge","HBondDonorCount","HBondAcceptorCount","RotatableBondCount","HeavyAtomCount","IsotopeAtomCount","AtomStereoCount","DefinedAtomStereoCount","UndefinedAtomStereoCount","BondStereoCount","DefinedBondStereoCount","UndefinedBondStereoCount","CovalentUnitCount","Volume3D","XStericQuadrupole3D","YStericQuadrupole3D","ZStericQuadrupole3D","FeatureCount3D","FeatureAcceptorCount3D","FeatureDonorCount3D","FeatureAnionCount3D","FeatureCationCount3D","FeatureRingCount3D","FeatureHydrophobeCount3D","ConformerModelRMSD3D","EffectiveRotorCount3D","ConformerCount3D"
"BRD-K00003198","No-Effect","597.7","597.33150487","597.33150487","4.1","108","918","0","2","6","11","44","0","0","0","0","0","0","0","1","472.2","16.62","9.44","3.46","12","3","2","0","2","5","0","1.4","15.4","10"
"BRD-K79700588","No-Effect","441.5","441.21647512","441.21647512","2.9","71.8","616","0","1","5","7","33","0","0","0","0","0","0","0","1","348.6","15.37","5.51","1.14","11","4","1","0","1","5","0","1","9.2","10"
"BRD-K77286328","No-Effect","393.5","393.22770851","393.22770851","3.9","91","503","0","3","7","5","29","0","0","0","0","0","0","0","1","299.1","15.75","5.41","0.95","12","1","3","0","3","5","0","1","7.4","10"
"BRD-K00005343","No-Effect","434.3","434.08491139","434.08491139","0.4","186","711","0","7","11","3","31","0","4","4","0","0","0","0","1","303.1","10.34","5.7","1.23","18","7","7","0","0","4","0","0.8","4.2","10"
"BRD-K89391146","No-Effect","334.3","334.09535693","334.09535693","2.6","90.5","554","0","2","4","4","25","0","1","1","0","0","0","0","1","252.6","8.9","3.47","1.54","11","4","1","1","1","4","0","0.8","4.2","10"
"BRD-K32942258","No-Effect","356.8","356.0840169","356.0840169","3.3","58.3","622","0","1","5","2","25","0","1","0","1","0","0","0","1","261.2","6.83","5.38","1.49","9","3","1","0","1","4","0","0.6","2.2","6"
"BRD-K02389548","No-Effect","339.4","339.19467705","339.19467705","2.8","84.2","419","0","3","3","8","25","0","0","0","0","0","0","0","1","276.2","7.28","4.25","1.83","9","2","3","0","1","2","1","1.2","10","10"
"BRD-K22024824","No-Effect","469.4","469.14248232","469.14248232","4.6","87.3","771","0","3","8","5","33","0","1","1","0","0","0","0","1","332.6","12.49","5.19","1.52","10","3","3","0","0","3","1","1","8.4","10"
"BRD-K13178532","No-Effect","727.8","726.2773326","726.2773326","7.3","90.9","1260","0","0","6","10","49","0","2","2","0","0","0","0","1","557.2","17.23","5.95","3.26","11","4","0","0","1","5","1","1.4","13.8","10"
"BRD-K00004590","No-Effect","416.5","416.23245954","416.23245954","1.6","66.1","865","0","0","5","3","31","0","0","0","0","0","0","0","1","327.4","25.59","2.71","0.85","10","3","0","0","1","5","1","0.8","4.2","10"
"BRD-K00004573","No-Effect","401.5","401.18383758","401.18383758","3.8","85.3","685","0","1","7","8","29","0","1","1","0","0","0","0","1","311.2","17.94","3.24","1.38","12","6","0","1","1","3","1","1","8.4","10"
"BRD-K20986415","No-Effect","545.6","545.27505262","545.27505262","2","115","857","0","3","8","8","40","0","0","0","0","0","0","0","1","418.6","22","12.03","1.48","16","5","3","0","2","6","0","1.2","12.4","10"
"BRD-K61688984","No-Effect","362.4","362.1542894","362.1542894","3.2","72.9","532","0","2","4","6","27","0","0","0","0","2","2","0","1","288.5","35.24","2.11","1.31","8","2","2","0","1","3","0","1","7","10"
"BRD-K00004597","No-Effect","596.1","595.2101061","595.2101061","6.3","49.8","783","0","1","7","13","42","0","1","1","0","0","0","0","1","456.9","19.4","7","2.77","9","3","0","1","1","4","0","1.2","14","10"
