broad_id,InChIKey,Target,TTD Target
BRD-K04710043,BNQSTAOJRULKNX-UHFFFAOYSA-N,AKT1,
BRD-K73753850,RYQOILLJDKPETL-UHFFFAOYSA-N,,
BRD-K70007857,IMQLKJBTEOYOSI-GPIVLXJGSA-N,,
BRD-K69253806,PBBGSZCBWVPOOL-HDICACEKSA-N,"AKR1C1, ESR1, ESR2",
BRD-A18605525,DTOUUUZOYKYHEP-AERCQKQUSA-N,,
BRD-A63267145,RGHNJXZEOKUKBD-TXICZTDVSA-N,,
BRD-A33894669,OXLZNBCNGJWPRV-SZPZYZBQSA-N,ADRB2,
BRD-A97730597,DKLKMKYDWHYZTD-ZDUSSCGKSA-N,SCN5A,
BRD-A14234430,SVTBMSDMJJWYQN-RXMQYKEDSA-N,"AKR1C3, CTPS1, DLG4, HSP90AA1, NOS3, PGF, PLA2G1B, PTPN1, SELP",
BRD-K99946902,WFJIVOKAWHGMBH-UHFFFAOYSA-N,TYR,"ALOX5, TYR, ALOX12, ALOX15"
BRD-A55204514,WZRCQWQRFZITDX-CQSZACIVSA-N,ADRB2,
BRD-K62914667,QIAFMBKCNZACKA-UHFFFAOYSA-N,,
BRD-K01674964,NTYJJOPFIAHURM-UHFFFAOYSA-N,"HRH1, HRH2, HRH3, HRH4","HRH2, HRH1, ABCB11, HRH3, HRH4"
BRD-K34411045,AFZWZVLPIMHLSE-UHFFFAOYSA-N,RAPGEF4,RAPGEF4
BRD-K58811567,NERXPXBELDBEPZ-RMKNXTFCSA-N,EGFR,
BRD-K73746696,FIOIJUCPVZEPFX-UHFFFAOYSA-N,PRMT5,
BRD-K74319597,AHJUHHDDCJQACA-UHFFFAOYSA-N,,
BRD-K70511574,OCKHRKSTDPOHEN-BQYQJAHWSA-N,PLK1,
BRD-K00003598,LIXBJWRFCNRAPA-NSHDSACASA-N,,
BRD-K01826529,ZTVIKZXZYLEVOL-YJNKXOJESA-N,CHRM1,
BRD-A54234250,WKWOJBUWWZTUQV-JJXSEGSLSA-N,CHRM5,
BRD-K28354016,QTANTQQOYSUMLC-UHFFFAOYSA-O,,
BRD-K01826562,WEUCDJCFJHYFRL-IBGZPJMESA-N,HRH1,
BRD-K76674262,HYFHYPWGAURHIV-JFIAXGOJSA-N,RPL3,
BRD-K30519779,HQPMJFFEXJELOQ-UHFFFAOYSA-N,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D",
BRD-A34751532,WSSJONWNBBTCMG-RYUDHWBXSA-N,,
BRD-K59570838,ANOUKFYBOAKOIR-UHFFFAOYSA-N,,
BRD-K98493452,FVYXIJYOAGAUQK-UHFFFAOYSA-N,"ALOX5, PTGS1, PTGS2","CNR2, ALOX5, RXRA, CNR1"
BRD-K93631643,KUBCEEMXQZUPDQ-UHFFFAOYSA-N,,
BRD-K00004723,UHKZNDVUBSEJJO-XAYNKGEHSA-N,,
BRD-K00003140,VJCLAPUACUQZOV-UHFFFAOYSA-N,,
BRD-K00003730,PVXGCBZIVFCMJK-AUSGGWNYSA-N,,
BRD-K44963273,VUAXHMVRKOTJKP-UHFFFAOYSA-N,,
BRD-K00004745,LUJDHCXCWJFNOJ-UHFFFAOYSA-N,,
BRD-K00003386,TXCGMRVPXUBHAL-PLRJNAJWSA-N,,
BRD-K58726989,CHSDJDLAKKAWCI-UHFFFAOYSA-N,NUAK1,
BRD-K00003389,ATMNQRRJNBCQJO-UHFFFAOYSA-N,,
BRD-K01825665,PMKJGGBYYNEYPA-AWEZNQCLSA-N,HRH4,
BRD-K62240499,ZRJBHWIHUMBLCN-YQEJDHNASA-N,ACHE,
BRD-K59788572,WCDDVEOXEIYWFB-VXORFPGASA-N,"C1QBP, CD44, HABP2, HAPLN1, HAPLN3, HAPLN4, HMMR, ICAM1, NCAN, VCAN",
BRD-K50406511,MFZWMTSUNYWVBU-UHFFFAOYSA-N,,
BRD-K82103381,RPTUSVTUFVMDQK-UHFFFAOYSA-N,,"ABCB11, MPO"
BRD-K02715688,JZUTXVTYJDCMDU-MOPGFXCFSA-N,,
BRD-K92726801,LGDCROILDUSHQX-UHFFFAOYSA-N,,
BRD-K13078532,JZUFKLXOESDKRF-UHFFFAOYSA-N,"CA1, CA12, CA2, CA4, CA9, KCNMA1, SLC12A3",
BRD-K93568044,JYGXADMDTFJGBT-VWUMJDOOSA-N,"ANXA1, NOS2, NR3C1, NR3C2","CYP3A4, ABCB11, ABCB1, SERPINA6"
BRD-K11612998,ALEXXDVDDISNDU-JZYPGELDSA-N,NR3C1,
BRD-K99199077,BMCQMVFGOVHVNG-TUFAYURCSA-N,NR3C1,
BRD-K00025601,VWQWXZAWFPZJDA-CGVGKPPMSA-N,,
BRD-K01824977,BGSOJVFOEQLVMH-SBXZOHCASA-N,,
BRD-K09968782,FZCHYNWYXKICIO-FZNHGJLXSA-N,NR3C1,
BRD-K36862742,DMDGGSIALPNSEE-UHFFFAOYSA-N,"ATP1A1, CA1, CA12, CA2, CA4, CA9, KCNMA1, SLC12A1, SLC12A3",
BRD-K65866076,LJOQGZACKSYWCH-LHHVKLHASA-N,,
BRD-K11227669,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,TYR,"CA6, CA7, CA9, TYR, CA4, CA2, CA12, CA1, CA14"
BRD-K00003525,YOZNUFWCRFCGIH-WZHZPDAFSA-L,,
BRD-A80871782,GIKNHHRFLCDOEU-SSDOTTSWSA-N,TAAR1,
BRD-A99117172,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,"TLR7, TLR9","TLR9, TLR7"
BRD-K77793136,ZAVGJDAFCZAWSZ-UHFFFAOYSA-N,"PKIA, PRKACA, ROCK1","KCNH2, CCL2, ROCK2, ROCK1"
BRD-K44932450,DBPWSSGDRRHUNT-CEGNMAFCSA-N,PGR,
BRD-K92902018,VTHUYJIXSMGYOQ-KOORYGTMSA-N,PGR,
BRD-A01412266,ODLHGICHYURWBS-LWHSBNEASA-N,,
BRD-K00003327,DKEZDPGUJMMUCC-GJVNFNJISA-N,,
BRD-K62186992,TUESWZZJYCLFNL-DAFODLJHSA-N,,
BRD-K01825165,HLVVITIHAZBPKB-NSHDSACASA-N,ACHE,
BRD-K75608666,WHSXTWFYRGOBGO-UHFFFAOYSA-N,,
BRD-K51747290,VSNHCAURESNICA-UHFFFAOYSA-N,"RRM1, RRM2, RRM2B","ABCC4, CA9, CA4, ABCC2, ABCB11, CA2"
BRD-K01826510,ZQDWXGKKHFNSQK-NRFANRHFSA-N,HRH1,
BRD-A24252652,GRRNUXAQVGOGFE-SIGCQSELSA-N,,
BRD-K46424862,HSHNITRMYYLLCV-UHFFFAOYSA-N,"MAOA, MAOB",
BRD-K44009692,DGABKXLVXPYZII-SIBKNCMHSA-N,,
BRD-K40530731,RKUNBYITZUJHSG-FXUDXRNXSA-N,"CHRM1, CHRM2, CHRM3, CHRM4",
BRD-K29673530,BTXNYTINYBABQR-UHFFFAOYSA-N,,
BRD-A63780829,OVSQVDMCBVZWGM-FHYQVQSVSA-N,"ACE, AKR1B1",
BRD-K13881745,HNPAHGHFONBTLV-KSJQNFQUSA-N,"IKBKB, IL1B, TNF",
BRD-K03739921,FDGQSTZJBFJUBT-UHFFFAOYSA-N,PNP,
BRD-K26439554,HFYPTENHTPNXGP-UHFFFAOYSA-N,"LPAR1, LPAR3",
BRD-K08109215,AAAQFGUYHFJNHI-SFHVURJKSA-N,"BRD2, BRD3, BRD4","BRD3, CYP3A4, CYP2D6, CYP2C9, BRD4, BRD2"
BRD-K36363294,VUVUVNZRUGEAHB-CYBMUJFWSA-N,"BRD2, BRD3, BRD4","BRD3, CYP3A4, PDE4B, CYP2C9, BRD4, BRD2"
BRD-K04972057,WRUWGLUCNBMGPS-UHFFFAOYSA-N,BRD9,"BRD3, BRD9, BRD4"
BRD-K14762862,HRVWCNMOEFNEON-UHFFFAOYSA-N,,
BRD-K71698503,WNSWOZIBBVUJBI-UHFFFAOYSA-N,,
BRD-K57090026,YKNAKDFZAWQEEO-IBGZPJMESA-N,"CREBBP, EP300","CREBBP, BRD4"
BRD-K00003105,HWJWNWZJUYCGKV-UHFFFAOYSA-N,,
BRD-K31135544,HUJXGQILHAUCCV-MOROJQBDSA-N,"ADORA1, ADORA2A, ADORA2B, ADORA3","HTR2B, ADORA2B, ADORA2A, HTR2C, HTR2A, ADORA3, ADORA1"
BRD-K08681769,MPBVHIBUJCELCL-UHFFFAOYSA-N,FDPS,
BRD-K15196155,RUTVRAJKELSHCC-UHFFFAOYSA-N,HCAR3,
BRD-K00003408,IXZOHGPZAQLIBH-NRFANRHFSA-N,,CRBN
BRD-K14063023,YFHRCLAKZBDRHN-MRXNPFEDSA-N,,
BRD-K94979336,APIXJSLKIYYUKG-UHFFFAOYSA-N,"ADORA1, PDE2A, PDE3B, PDE4D, PDE5A, PDE6G, PDE7A, PDE8A, PDE9A","PDE2A, PDE5A, PDE8A, PDE9A, PDE3A, PDE3B, PDE4D, PDE4B, PDE7A, CACNA1C"
BRD-A02971356,IRJCBFDCFXCWGO-SCSAIBSYSA-N,GRIN1,
BRD-K62490786,KPRTURMJVWXURQ-UHFFFAOYSA-N,LPL,
BRD-K70301465,XYFPWWZEPKGCCK-GOSISDBHSA-N,"BLK, BMX, BTK","PDGFRB, KCNH2, PTK6, BLK, LCK, EPHA2, TXK, CYP3A4, LYN, ITK, JAK3, EGFR, ITK, RET, CYP2B6, SRC, ERBB4, CYP2C9, ERBB2, EGFR, FGR, BTK, TEC, BMX, CSF1R, FLT3"
BRD-K16444452,ZJVFLBOZORBYFE-UHFFFAOYSA-N,"IL1B, IL6, PDE3A, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A","PDE5A, PDE4A, PDE3A, PDE4C, PDE4D, PDE4B"
BRD-A17655518,HEFNNWSXXWATRW-SNVBAGLBSA-N,,
BRD-K14965640,HEFNNWSXXWATRW-JTQLQIEISA-N,"ASIC1, PTGS1, PTGS2, SLC5A8","CXCR1; CXCR2, AKR1C3, PTGS1, PTGS2"
BRD-M64062803,IHHXIUAEPKVVII-APFIOPMWSA-N,,
BRD-A75224450,ACEWLPOYLGNNHV-OAHLLOKOSA-N,"PTGS1, PTGS2",
BRD-A40940854,BYPIURIATSUHDW-SNVBAGLBSA-N,ALOX5,
BRD-K44771174,UMUPQWIGCOZEOY-JOCHJYFZSA-N,"GHR, GHSR",
BRD-A74391928,ALOBUEHUHMBRLE-HXUWFJFHSA-N,"CACNA1C, KCNH2",
BRD-K59839632,IIBSHMFXVWTQSJ-UHFFFAOYSA-N,"KCNQ2, KCNQ3","KCNH2, SCN5A"
BRD-K71686520,FOYOGIUAMYSVIT-UHFFFAOYSA-N,KCNQ2,
BRD-K03149601,URSQNPPONHUJDL-UHFFFAOYSA-N,"SCN1A, SCN3A",
BRD-K65639003,TZJALUIVHRYQQB-XLRXWWTNSA-N,PDE5A,"PDE5A, KDM1A"
BRD-K24476327,TUUXBSASAQJECY-UHFFFAOYSA-N,PDE5A,
BRD-K63772874,QURWXBZNHXJZBE-SKXRKSCCSA-N,BDKRB2,
BRD-K73261812,HQWTUOLCGKIECB-XZWHSSHBSA-N,CTNNB1,
BRD-K74603273,VFIDUCMKNJIJTO-XJKSGUPXSA-N,"ADRB2, ADRB3",
BRD-K66782112,ALCSGJCIESECFD-UHFFFAOYSA-N,HRH2,
BRD-K00004569,HYOLQGVNMQNERE-UHFFFAOYSA-N,,
BRD-K29133151,ZWAVGFSZMACJHA-PMNBYGLBSA-N,,
BRD-K59433843,WHUIENZXNGAHQI-GKZDNZBASA-N,TBXA2R,
BRD-K73290745,AEJOEPSMZCEYJN-HXUWFJFHSA-N,"CYP2D6, OPRD1, OPRK1, OPRM1, UTS2R","OPRM1, CYP2D6, OPRK1, UTS2R, OPRD1"
BRD-K52487250,MXWICZOXPUWAHY-HNNXBMFYSA-N,ADRB3,
BRD-K52219182,UQDVRVNMIJAGRK-UHFFFAOYSA-N,,
BRD-A03359064,HTLWRKRZKFAAAH-KRWDZBQOSA-N,"ADRB1, ADRB2",
BRD-K48869804,RCEFMOGVOYEGJN-UHFFFAOYSA-N,"TRPA1, TRPM8",
BRD-K00003415,HWJPWWYTGBZDEG-AWEZNQCLSA-N,,
BRD-K41234004,JSFATNQSLKRBCI-VAEKSGALSA-N,LTB4R2,
BRD-K47192521,JAZBEHYOTPTENJ-JLNKQSITSA-N,"ACSL3, ACSL4, FADS1, FFAR1, PPARD, PPARG, PTGS1, PTGS2, SLC8A1, TRPV1","CYP19A1, PPARA, PPARG, OXER1, PPARD, RXRA"
BRD-K31698212,QQLKULDARVNMAL-UHFFFAOYSA-N,EGFR,
BRD-K18634484,NCSHZXNGQYSKLR-UNOMPAQXSA-N,"CTNNB1, TCF4",
BRD-K09638361,JBJYTZXCZDNOJW-JLHYYAGUSA-N,"CSNK1A1, CSNK1D, CSNK1E, CSNK1G2",
BRD-K90305467,OSCCDBFHNMXNME-YUPRTTJUSA-N,INS,
BRD-K39166528,VVZNWYXIOADGSW-UHFFFAOYSA-N,,
BRD-K79102359,YBAWYTYNMZWMMJ-UHFFFAOYSA-N,HTR6,"HTR7, HTR6, HTR1A, DRD2, HTR2C, HTR2A"
BRD-K69650333,XDXDZDZNSLXDNA-TZNDIEGXSA-N,TOP2A,
BRD-K62627508,TVTXCJFHQKSQQM-LJQIRTBHSA-N,"MDM2, TP53",
BRD-A18696154,HPMRFMKYPGXPEP-SNVBAGLBSA-N,"ADRA2A, PTGS2",
BRD-K37516142,JGPMMRGNQUBGND-UHFFFAOYSA-N,,"ALOX5, SIRT2"
BRD-K60866521,IFSDAJWBUCMOAH-HNNXBMFYSA-N,"PIK3CA, PIK3CB, PIK3CD, PIK3CG","PIK3CG, PRKDC, PI4KB, PIK3CB, PI4KA, PIK3CA, MTOR, PIK3CD"
BRD-K00003098,QGBBBLPWBSWERZ-UHFFFAOYSA-N,,
BRD-K00003457,DCGDPJCUIKLTDU-SUNYJGFJSA-N,,
BRD-K76634210,XQFRJNBWHJMXHO-RRKCRQDMSA-N,,
BRD-K22356203,HGXSLPIXNPASGZ-UHFFFAOYSA-N,IDO1,
BRD-A14344385,VZRNTCHTJRLTMU-YFKPBYRVSA-N,"GRIA1, GRIA2, GRIA3, GRIA4",
BRD-K00003671,TZBDEVBNMSLVKT-XYYXLIQBSA-N,,
BRD-K74671368,ZZUBHVMHNVYXRR-UHFFFAOYSA-N,"ENOX2, SPHK1",
BRD-K13829090,IWYZMMIPAJDJBN-UHFFFAOYSA-N,GRIA2,
BRD-K80060353,UWWMQHVWAYFCDT-UHFFFAOYSA-N,GRIA1,
BRD-K00004210,UYNVMODNBIQBMV-KKSFZXQISA-N,GRIN2B,
BRD-A67097164,HOMGKSMUEGBAAB-CQSZACIVSA-N,"CYP2A6, CYP2B6, CYP2C18, CYP2C19, CYP2C8, CYP2C9, CYP3A4, CYP3A5, CYP3A7, PTGS1",
BRD-A48376327,VCZSWYIFCKGTJI-JLHYYAGUSA-N,SIGMAR1,
BRD-K15426076,ANMATWQYLIFGOK-UHFFFAOYSA-N,PTGS2,
BRD-K14618467,BWZJBXAPRCVCKQ-UHFFFAOYSA-N,IKBKB,
BRD-K26373640,BMUACLADCKCNKZ-UHFFFAOYSA-N,IKBKB,
BRD-K74305673,CHILCFMQWMQVAL-UHFFFAOYSA-N,IKBKB,
BRD-K00003427,HRRXCXABAPSOCP-AREMUKBSSA-N,,
BRD-K60480335,BLPUOQGPBJPXRL-FNORWQNLSA-N,,
BRD-K51662849,NITYDPDXAAFEIT-DYVFJYSZSA-N,"ACAN, ADAM28, MMP1, MMP12, MMP13, MMP14, MMP2, MMP3, MMP8, MMP9","MMP2, MMP13, MMP14, MMP7, ADAM17, MMP17, MMP8, ADAMTS5, MMP1, ADAM10, MMP9, MMP12, MMP3, MMP16, MMP15, ADAMTS4"
BRD-K48722833,XMXHEBAFVSFQEX-UHFFFAOYSA-N,"ADRA1A, ADRA2C, DRD1, DRD2, DRD3, DRD4, HRH1, HTR1A, HTR2A, HTR6, HTR7","ABCC4, DRD2, ABCC2, ABCB11, SIGMAR1"
BRD-A45664787,HIFJCPQKFCZDDL-GBSCXWAGSA-N,"PTGDR, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, PTGIR, TBXA2R",
BRD-K92723993,KTUFNOKKBVMGRW-UHFFFAOYSA-N,"ABL1, CSF1R, DDR1, KIT, NTRK1, PDGFRA, PDGFRB, RET","PDGFRB, ABCG2, CA6, BRAF, DDR1, LCK, CA7, ABCC4, SYK, ABL1, PDGFRA, SLC47A2, CYP3A4, KDR, DDR2, LYN, CA9, Trypano CYSP, CA4, ABCC2, EGFR, PRKCD, HDAC1, ABCB11, HDAC6, ABCB1, KIT, NQO2, PRKCA, SRC, SLC47A1, CA2, EGFR, CA12, ABL2, CDK2, SLC22A3, MAPK14, CSF1R, BCR-ABL1, CA1, CA14, FLT3"
BRD-K96298462,VXMYWVMXSWJFCV-UHFFFAOYSA-N,,
BRD-K55822903,GFICWFZTBXUVIG-SCSAIBSYSA-N,,
BRD-K33183200,PEHSVUKQDJULKE-UHFFFAOYSA-N,"HRH3, HRH4",
BRD-A78195072,BIXBBIPTYBJTRY-VBMBUWLQSA-N,,
BRD-K76609936,YWTYJOPNNQFBPC-UHFFFAOYSA-N,,
BRD-K29626940,SQKXYSGRELMAAU-UHFFFAOYSA-N,"CHRM1, CHRM3",
BRD-K11466259,KLZWOWYOHUKJIG-BPUTZDHNSA-N,ACE,
BRD-K00004617,CUNDRHORZHFPLY-UHFFFAOYSA-N,,
BRD-K00003682,ZCTXEAQXZGPWFG-RFZPGFLSSA-N,,
BRD-A10903566,UXABARREKCJULM-NSHDSACASA-N,"ADRA2A, ADRA2B",
BRD-K23200955,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,,
BRD-K38436528,BCGWQEUPMDMJNV-UHFFFAOYSA-N,"ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7, KCND2, KCND3, KCNH1, KCNH2, SLC6A2, SLC6A3, SLC6A4","KCNH2, ABCC4, SLC47A2, DRD2, SLC6A3, HRH1, ABCC2, SLC6A4, ABCB11, HTR2C, HTR2A, SLC47A1, PRNP, SLC6A2"
BRD-K26657438,DOUYETYNHWVLEO-UHFFFAOYSA-N,"TLR7, TLR8","ABCC4, TLR8, ABCC2, ABCB11, TLR7"
BRD-K00003208,QCCHBHSAIQIQGO-UHFFFAOYSA-N,,
BRD-K00003154,UWYSKLMRWPKZES-XNPJUPKFSA-L,,
BRD-K25906698,MCNGUYXRBCIGOV-UHFFFAOYSA-N,"HRH3, HRH4",
BRD-K49519092,DFVSGZHJSIEEQQ-UHFFFAOYSA-N,HRH3,
BRD-K20049318,MZCJWLAXZRFUPI-UHFFFAOYSA-N,HRH3,
BRD-K00926464,HIINQLBHPIQYHN-JTQLQIEISA-N,,
BRD-K00003532,LYMICVBGNUEHGE-NLKZJYKHSA-N,,
BRD-K00004751,CJCYTUJOSMYXLE-NHMFLIHISA-N,,
BRD-K81016934,LIOLIMKSCNQPLV-UHFFFAOYSA-N,MET,
BRD-K33308633,GCHPUOHXXCNSQL-UHFFFAOYSA-N,NFATC1,
BRD-K28059174,NXZNYBUBXWWKCP-JMOWIOHXSA-N,,
BRD-K00003102,ZNFWPFHSBWLNSO-UHFFFAOYSA-N,,
BRD-K67628093,NXZNYBUBXWWKCP-DNRQZRRGSA-N,CCR2,
BRD-K00003344,MDYVZYDNBUAVCN-WCAKBIDQSA-N,,
BRD-K89208535,QZZUEBNBZAPZLX-QFIPXVFZSA-N,"ADRB1, ADRB2","DRD3, ADRB1, DRD2, ADRB2"
BRD-K64973364,SADQVAVFGNTEOD-UHFFFAOYSA-N,SLC6A4,
BRD-A95869247,NDDAHWYSQHTHNT-JTQLQIEISA-N,"CA2, HTR3A, KCNQ1",
BRD-K01649396,SVFXPTLYMIXFRX-XJKSGUPXSA-N,"MAOA, MAOB",
BRD-K00003177,YMPALHOKRBVHOJ-UHFFFAOYSA-N,"NCOA1, PPARA, PPARD, PPARG",
BRD-A59747053,MADRVGBADLFHMO-GFCCVEGCSA-N,,
BRD-K74057757,SOLIIYNRSAWTSQ-UHFFFAOYSA-N,,
BRD-K33226500,CBVCZFGXHXORBI-PXQQMZJSSA-N,"CYP3A4, CYP3A5, CYP3A7","ABCC4, SLC47A2, CYP3A4, ABCC2, CYP2D6, ABCB11, ABCB1, SLC47A1, CYP2C9, SLC22A3"
BRD-K90948141,CBIAWPMZSFFRGN-UHFFFAOYSA-N,GABRA1,
BRD-K17894950,CRDNMYFJWFXOCH-YPKPFQOOSA-N,"CDK1, CDK5, GSK3A",
BRD-K19136521,HBDSHCUSXQATPO-BGBJRWHRSA-N,"CDK1, CDK2, CDK5, CDK5R1, GSK3B",
BRD-K17610631,SETFNECMODOHTO-UHFFFAOYSA-N,"CA1, CA12, CA14, CA2, CA6, CA7, CA9","CA6, CA7, CA9, CA2, CA12, CA1, CA14"
BRD-M08274809,JUUUERJZVKCDOT-UHFFFAOYSA-N,,
BRD-K42332878,OVZUSPADPSOQQN-UHFFFAOYSA-N,,
BRD-A16296925,AYDXAULLCROVIT-OAHLLOKOSA-N,"PTGS1, PTGS2",
BRD-K80762071,BDBMLMBYCXNVMC-UHFFFAOYSA-O,SLCO1B1,
BRD-K01815685,IVYPNXXAYMYVSP-UHFFFAOYSA-N,AHR,
BRD-K09109825,KDCSRTPNDBPWQZ-UHFFFAOYSA-N,,
BRD-K57222227,CGIGDMFJXJATDK-UHFFFAOYSA-N,"GLO1, PLA2G2A, PPARA, PPARG, PTGDR2, PTGR2, PTGS1, PTGS2, SLC46A1","KCNH2, PTGS1; PTGS2, ABCC4, SLCO1B3, GLO1, CNR2, ALOX5, PPARG, ABCC2, EGFR, AKR1C3, SLCO1B1, AR, ABCB11, PTGES, TBXAS1, ABCB1, EPHX2, SLC47A1, SLCO2B1, PTGS1, EGFR, AKR1B1, PLA2G4C, PTGDR2, CXCL8, CNR1, GPR17, PTGS2, ABCC1"
BRD-A44090213,RJMIEHBSYVWVIN-LLVKDONJSA-N,"CXCR1, CXCR2, PTGS1, PTGS2",
BRD-K76953762,JXZZEXZZKAWDSP-UHFFFAOYSA-N,"ADRA1A, ADRA1B, ADRA1D, ADRA2B, ADRA2C","ABCC4, ABCC2, ABCB11, ADRA2A, ADRA2C, ADRA2B, ADRA1B, ADRA1D, ADRA1A"
BRD-K93255255,ZADWXFSZEAPBJS-SNVBAGLBSA-N,IDO1,
BRD-K00003329,VEBVPUXQAPLADL-POYOOMFHSA-N,"PRKCD, PRKCE",
BRD-K93779381,VDJHFHXMUKFKET-WDUFCVPESA-N,"PRKCA, PRKCB, PRKCD, PRKCE, PRKCG",PRKCD
BRD-K70177501,JPMOKRWIYQGMJL-UHFFFAOYSA-N,NDC80,
BRD-A71407503,SRQKTCXJCCHINN-ORMNHXAVSA-N,,
BRD-K11153516,MDOJTZQKHMAPBK-UHFFFAOYSA-N,PARP1,
BRD-K79612754,UGQMRVRMYYASKQ-KQYNXXCUSA-N,"PARP1, PNP",
BRD-K52618540,CDAISMWEOUEBRE-GPIVLXJGSA-N,CDIPT,
BRD-K82800842,MFZCIDXOLLEMOO-GYSGTQPESA-N,,
BRD-A29125379,PGAVKCOVUIYSFO-PXBUCIJWSA-N,,
BRD-K30968378,ZXERDUOLZKYMJM-ZWECCWDJSA-N,,
BRD-K33067152,XGIYOABXZNJOHV-APIYUPOTSA-N,GPBAR1,
BRD-K88165431,ZMXBIIQMSGOIRZ-RCZVLFRGSA-N,"ITGAV, ITGB6",
BRD-K00004752,YFXGICNMLCGLHJ-KGSOWIGMSA-N,,
BRD-K43860855,PDWUPXJEEYOOTR-UHFFFAOYSA-N,,
BRD-A37492983,GSVQIUGOUKJHRC-YFKPBYRVSA-N,,
BRD-K67261995,FFINMCNLQNTKLU-UHFFFAOYSA-N,ALB,
BRD-A08660406,NBQNWMBBSKPBAY-BRSBDYLESA-N,,
BRD-K69216798,ZZOBLCHCPLOXCE-UHFFFAOYSA-N,,
BRD-A46813902,WJLRTFJPHDSXAF-QHCPKHFHSA-N,,
BRD-K51918615,UBHYDQAARZKHEZ-UHFFFAOYSA-N,"HRH3, HRH4",
BRD-K75855670,UXZFQZANDVDGMM-UHFFFAOYSA-N,,
BRD-A60217728,NTHXOOBQLCIOLC-GMTAPVOTSA-N,,
BRD-K75868704,XQZXYNRDCRIARQ-LURJTMIESA-N,,
BRD-A42628519,OIRFJRBSRORBCM-YFKPBYRVSA-N,,
BRD-K51956333,YQNFBOJPTAXAKV-OMCISZLKSA-N,,
BRD-A72075775,DGAIEPBNLOQYER-RKDXNWHRSA-N,,
BRD-K98250023,UXIGWFXRQKWHHA-UHFFFAOYSA-N,,
BRD-A65818372,AMDBBAQNWSUWGN-RKDXNWHRSA-N,,
BRD-K84892605,DSFNLJXHXBIKDS-UHFFFAOYSA-N,CFTR,
BRD-K79124250,TYYBFXNZMFNZJT-UHFFFAOYSA-N,,
BRD-A09370961,UUMLTINZBQPNGF-NXEZZACHSA-N,,
BRD-K70751730,JGRPKOGHYBAVMW-UHFFFAOYSA-N,"EGLN1, KDM3A, KDM4C, KDM6B","EGLN1, KDM4A, KDM4C, KDM3A, KDM6B, KDM5C, KDM2A, KDM4E"
BRD-K98251413,CAOSCCRYLYQBES-UHFFFAOYSA-N,"EGLN1, KDM2A, KDM5C",
BRD-K38727704,RFAXLXKIAKIUDT-UHFFFAOYSA-N,PAK1,
BRD-K82421491,UUKPIWYXWLJPJF-UHFFFAOYSA-N,,
BRD-K66896231,YLUSMKAJIQOXPV-UHFFFAOYSA-N,ACHE,
BRD-K00003385,XUMALORDVCFWKV-IBGZPJMESA-N,,"KCNH2, PIK3CG, CYP3A4, PRKDC, CYP2D6, PIK3CB, CYP2B6, PIK3CA, CYP2C9, PIK3CD"
BRD-K51247865,AHFWIQIYAXSLBA-RQXATKFSSA-N,SLC5A2,
BRD-K01826778,OEXHQOGQTVQTAT-KKKDIUQISA-N,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",
BRD-K93618743,SFBODOKJTYAUCM-UHFFFAOYSA-N,,
BRD-K88568253,NYMGNSNKLVNMIA-UHFFFAOYSA-N,"MAOA, MAOB","ABCC4, ABCC2, ABCB11, MAOA, MAOB"
BRD-K90574421,TZJUVVIWVWFLCD-UHFFFAOYSA-N,HTR1A,"HTR1A, DRD3, DRD2, DRD4, ABCB11, ADRA1B, ADRA1D, ADRA1A"
BRD-K60038276,YOSHYTLCDANDAN-UHFFFAOYSA-N,"AGTR1, JUN, SLC10A1","KCNH2, ABCC4, SLC10A1, AGTR1, ABCB11, EDNRA, SLC47A1"
BRD-K00004549,BGYHLZZASRKEJE-UHFFFAOYSA-N,,
BRD-K00003335,YHTTWXCDIRTOQX-YDZOEDPBSA-N,,
BRD-K08547377,UWKQSNNFCGGAFS-XIFFEERXSA-N,"TOP1, TOP1MT","SLC47A2, CYP3A4, ACHE, SLC47A1, SLC22A3"
BRD-K98357249,UZDORQWMYRRLQV-JHOUSYSJSA-N,EDNRB,
BRD-K87777313,DSLPMJSGSBLWRE-UHFFFAOYSA-N,"CA2, STS","CA6, CYP19A1, CA7, CA9, CA4, CA2, CA12, CA1, CA14"
BRD-K74195153,ATCGGEJZONJOCL-UHFFFAOYSA-N,PDE4A,
BRD-K01825673,XVTVPGKWYHWYAD-CQSZACIVSA-N,"HTR1A, HTR1B",
BRD-A17009129,DDFOUSQFMYRUQK-FPTDNZKUSA-N,CYP3A4,
BRD-K95957366,FTCYIGBVOHNHCD-UHFFFAOYSA-N,,
