broad_id,InChIKey,Target,TTD Target
BRD-K47195926,QCXJEYYXVJIFCE-UHFFFAOYSA-N,,
BRD-K44004064,HCYFGRCYSCXKNQ-UHFFFAOYSA-N,ADORA1,
BRD-K13619941,KSMRODHGGIIXDV-YFKPBYRVSA-N,,
BRD-K00003531,NHTKGYOMICWFQZ-LHFSRKHSSA-N,,
BRD-K67563174,FSQKKOOTNAMONP-UHFFFAOYSA-N,"PTGS1, PTGS2",
BRD-K36262466,SQVRNKJHWKZAKO-PFQGKNLYSA-N,"CES1, SELE, SELP",
BRD-A65051990,VABCILAOYCMVPS-HNNXBMFYSA-N,VKORC1,
BRD-K37814297,NOSIYYJFMPDDSA-UHFFFAOYSA-N,"ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A",
BRD-K50850824,YGCFIWIQZPHFLU-UHFFFAOYSA-N,,
BRD-K11094367,FZERHIULMFGESH-UHFFFAOYSA-N,,
BRD-K99048103,ODFJOVXVLFUVNQ-UHFFFAOYSA-N,,
BRD-K43457670,BZKPWHYZMXOIDC-UHFFFAOYSA-N,"AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7","CA6, CA7, ABCC4, CA9, CA4, ABCC2, ABCB11, CA2, CA12, CHIA, CA1, CA14"
BRD-K52960356,VGZSUPCWNCWDAN-UHFFFAOYSA-N,"ABCC8, KCNJ1, KCNJ10, KCNJ11",
BRD-K21615095,RRUDCFGSUDOHDG-UHFFFAOYSA-N,MMP12,"MMP2, HDAC1, Bact lef, CA2"
BRD-K42938903,WNTYBHLDCKXEOT-UHFFFAOYSA-N,"DRD1, DRD2",
BRD-K46416130,GNOGSFBXBWBTIG-UHFFFAOYSA-N,,
BRD-K79437791,XTURYZYJYQRJDO-BNAHBJSTSA-N,PPARG,
BRD-K27406233,WXNXCEHXYPACJF-ZETCQYMHSA-N,,
BRD-A44696962,HMMGKOVEOFBCAU-OQJDUFEHSA-N,"HSD11B1, HSD11B2",
BRD-K82381502,OIPILFWXSMYKGL-UHFFFAOYSA-N,"ACHE, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2","CHRM2, CHRNA4-CHRNB2, CHRM5, CHRM3, CHRM1, ABCB11, CHRNA7, CHRNA3-CHRNB4, CHRM4"
BRD-K59058747,PWKSKIMOESPYIA-BYPYZUCNSA-N,"ACY1, CHUK, GRIN1, GRIN2A, GRIN2B, GRIN2D, GRIN3A, GSS, IKBKB, RELA, SLC7A11",
BRD-K46585355,DDSFKIFGAPZBSR-UHFFFAOYSA-N,,
BRD-K00004968,ZPCCSZFPOXBNDL-VGQMBGNASA-N,,
BRD-K72215350,WDSCBUNMANHPFH-UHFFFAOYSA-N,GAST,
BRD-A29520968,DFDGRKNOFOJBAJ-LBPRGKRZSA-N,"HCAR2, HCAR3",
BRD-K63736853,DJQOOSBJCLSSEY-UHFFFAOYSA-N,HCAR2,"ABCC4, ABCC2, ABCB11, HCAR2"
BRD-K74236708,VWQZJJZGISNFOE-UHFFFAOYSA-N,,
BRD-K62012036,IHUNBGSDBOWDMA-AQFIFDHZSA-N,"RARA, RARB, RARG, RBP1, RXRA, RXRB, RXRG, STAT3",
BRD-K13050541,QAWIHIJWNYOLBE-ZAFYKAAXSA-N,CTPS1,
BRD-K31965398,USZYSDMBJDPRIF-SVEJIMAYSA-N,"TOP1, TOP2A",MMP2
BRD-K74363950,ASMXXROZKSBQIH-VITNCHFBSA-N,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",
BRD-K00004720,DUYNJNWVGIWJRI-LJAQVGFWSA-N,,
BRD-K00003303,PTYGDEXEGLDNAZ-UHFFFAOYSA-N,,
BRD-K66465025,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,,
BRD-M87138257,BCBIBQWDFMQRSJ-UHFFFAOYSA-O,HIF1A,
BRD-K97874492,XSIOKTWDEOJMGG-UHFFFAOYSA-O,HIF1A,
BRD-M49658242,YZODJQFXMFEJRM-UHFFFAOYSA-N,,
BRD-K50163129,PWACSDKDOHSSQD-IUTFFREVSA-N,HRH1,
BRD-M00184283,MNNFZYTXMPWOTA-UHFFFAOYSA-N,,
BRD-K34843150,DKULOVKANLVDEA-UHFFFAOYSA-N,"EDNRA, EDNRB",
BRD-K19781342,NHPQGZOBHSVTAQ-IBGZPJMESA-N,"HCRTR1, HCRTR2",
BRD-K33483813,MROJXXOCABQVEF-UHFFFAOYSA-N,,
BRD-K35936936,GZPJCJKUZPUFAL-UHFFFAOYSA-N,"KDR, TEK",
BRD-K16547679,RJURFGZVJUQBHK-DCUCITLNSA-N,,
BRD-K08837089,YAMVZYRZAMBCED-UHFFFAOYSA-N,,
BRD-K00003220,VGUSQKZDZHAAEE-UHFFFAOYSA-N,,
BRD-K82928847,QGZYDVAGYRLSKP-UHFFFAOYSA-N,"HDAC1, HDAC2, HDAC3, HDAC6, HDAC8","PSMB5, HDAC3, LTA4H, HDAC7, HDAC11, HDAC2, HDAC9, HDAC1, HDAC5, HDAC6, HDAC8, HDAC10, SIRT1, HDAC4"
BRD-K32318651,MKUXAQIIEYXACX-UHFFFAOYSA-N,PNP,"ABCC4, ABCC2, ABCB11, PNP"
BRD-K10226125,VZXULFIUJKSVJY-UHFFFAOYSA-N,,
BRD-K00004583,BWAKMLKESHKOHK-UHFFFAOYSA-N,,
BRD-A80280426,CLDJCRWXLDLJLO-CQSZACIVSA-N,AKR1B1,
BRD-K33127281,LZCDAPDGXCYOEH-UHFFFAOYSA-N,"RARA, RARB, RARG, RXRA, RXRB, RXRG","GLRA1, RARB, ABCC4, ABCC2, ABCB11, RARG, RARA"
BRD-A73427433,NBSCHQHZLSJFNQ-DVKNGEFBSA-N,"AKR1B1, GPI, HK1, M6PR, PYGM",
BRD-K37151368,AKWRNBWMGFUAMF-ZESMOPTKSA-N,CCR5,
BRD-K00152668,QAWBIEIZDDIEMW-FPYGCLRLSA-N,"RARB, RARG",
BRD-K67789209,HPFLVTSWRFCPCV-UHFFFAOYSA-N,"HTR1A, HTR2A",
BRD-K00003499,AQDWDWAYVBQMAM-UHFFFAOYSA-N,,
BRD-K43055376,OKVOKULYZXODKU-UHFFFAOYSA-N,,
BRD-K77484724,SUPKOOSCJHTBAH-UHFFFAOYSA-N,,
BRD-K96159438,WOZSCQDILHKSGG-UHFFFAOYSA-N,,
BRD-K78097265,PAHZPHDAJQIETD-UHFFFAOYSA-N,,
BRD-K78185697,MEFKEPWMEQBLKI-AIRLBKTGSA-O,,
BRD-K26060080,GFFGJBXGBJISGV-UHFFFAOYSA-N,"ACACB, ACP1, APRT, MTAP, PECR, SRPK2","HSP90AB1, XDH, ABCB11, CDK1"
BRD-K01577834,OIRDTQYFTABQOQ-KQYNXXCUSA-N,"ADORA1, ADORA2A, ADORA2B, ADORA3, PI4K2A, PI4K2B, TRPM4","GAPDH, PRKCB, ADORA2B, SLC28A2, EGFR, ADORA2A, IMPDH1, IMPDH2, ADA, ADORA3, SLC29A1, ERBB2, EGFR, PNP, ADORA1, DOT1L"
